date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
29/06/2026,100000000,CII,1,100,17450.0,1745000.0,0.0047,0.0175,99903000.0,97000.0,0.5529
29/06/2026,100000000,DBC,1,100,18550.0,1855000.0,0.0141,0.0186,99903000.0,97000.0,0.5529
29/06/2026,100000000,DGW,2,200,40250.0,8050000.0,0.0445,0.0805,99903000.0,97000.0,0.5529
29/06/2026,100000000,DXG,2,200,12600.0,2520000.0,0.0206,0.0252,99903000.0,97000.0,0.5529
29/06/2026,100000000,EIB,3,300,20700.0,6210000.0,0.0434,0.0621,99903000.0,97000.0,0.5529
29/06/2026,100000000,HAG,2,200,14950.0,2990000.0,0.0203,0.0299,99903000.0,97000.0,0.5529
29/06/2026,100000000,HDC,3,300,14950.0,4485000.0,0.0409,0.0449,99903000.0,97000.0,0.5529
29/06/2026,100000000,HDG,1,100,20800.0,2080000.0,0.0116,0.0208,99903000.0,97000.0,0.5529
29/06/2026,100000000,IMP,3,300,40750.0,12225000.0,0.0934,0.1222,99903000.0,97000.0,0.5529
29/06/2026,100000000,KDC,2,200,50100.0,10020000.0,0.0541,0.1002,99903000.0,97000.0,0.5529
29/06/2026,100000000,KDH,2,200,21650.0,4330000.0,0.0301,0.0433,99903000.0,97000.0,0.5529
29/06/2026,100000000,MBB,1,100,24140.0,2414000.0,0.0161,0.0241,99903000.0,97000.0,0.5529
29/06/2026,100000000,NLG,1,100,26400.0,2640000.0,0.0236,0.0264,99903000.0,97000.0,0.5529
29/06/2026,100000000,PDR,3,300,14750.0,4425000.0,0.0437,0.0442,99903000.0,97000.0,0.5529
29/06/2026,100000000,SJS,1,100,48000.0,4800000.0,0.0327,0.048,99903000.0,97000.0,0.5529
29/06/2026,100000000,TCH,5,500,14400.0,7200000.0,0.0657,0.072,99903000.0,97000.0,0.5529
29/06/2026,100000000,VCB,1,100,61540.0,6154000.0,0.0382,0.0615,99903000.0,97000.0,0.5529
29/06/2026,100000000,VGC,2,200,40400.0,8080000.0,0.0523,0.0808,99903000.0,97000.0,0.5529
29/06/2026,100000000,VHC,1,100,60000.0,6000000.0,0.0578,0.06,99903000.0,97000.0,0.5529
29/06/2026,100000000,VIX,1,100,16800.0,1680000.0,0.0153,0.0168,99903000.0,97000.0,0.5529
06/07/2026,100000000,DBC,1,100,18200.0,1820000.0,0.0125,0.0182,99861000.0,139000.0,0.5504
06/07/2026,100000000,DGW,2,200,39000.0,7800000.0,0.0436,0.078,99861000.0,139000.0,0.5504
06/07/2026,100000000,DXG,2,200,11900.0,2380000.0,0.0207,0.0238,99861000.0,139000.0,0.5504
06/07/2026,100000000,EIB,3,300,20000.0,6000000.0,0.045,0.06,99861000.0,139000.0,0.5504
06/07/2026,100000000,HAG,2,200,14950.0,2990000.0,0.0207,0.0299,99861000.0,139000.0,0.5504
06/07/2026,100000000,HDC,3,300,14700.0,4410000.0,0.0398,0.0441,99861000.0,139000.0,0.5504
06/07/2026,100000000,HDG,1,100,18600.0,1860000.0,0.0115,0.0186,99861000.0,139000.0,0.5504
06/07/2026,100000000,IMP,3,300,42280.0,12684000.0,0.0936,0.1268,99861000.0,139000.0,0.5504
06/07/2026,100000000,KDC,2,200,49200.0,9840000.0,0.0534,0.0984,99861000.0,139000.0,0.5504
06/07/2026,100000000,KDH,2,200,20500.0,4100000.0,0.0296,0.041,99861000.0,139000.0,0.5504
06/07/2026,100000000,MBB,1,100,24330.0,2433000.0,0.0158,0.0243,99861000.0,139000.0,0.5504
06/07/2026,100000000,NLG,1,100,25450.0,2545000.0,0.0227,0.0255,99861000.0,139000.0,0.5504
06/07/2026,100000000,NT2,1,100,21950.0,2195000.0,0.012,0.022,99861000.0,139000.0,0.5504
06/07/2026,100000000,PDR,4,400,14300.0,5720000.0,0.0431,0.0572,99861000.0,139000.0,0.5504
06/07/2026,100000000,SJS,1,100,47800.0,4780000.0,0.0314,0.0478,99861000.0,139000.0,0.5504
06/07/2026,100000000,TCH,5,500,13650.0,6825000.0,0.0657,0.0683,99861000.0,139000.0,0.5504
06/07/2026,100000000,VCB,1,100,60750.0,6075000.0,0.0389,0.0607,99861000.0,139000.0,0.5504
06/07/2026,100000000,VGC,2,200,40070.0,8014000.0,0.0521,0.0801,99861000.0,139000.0,0.5504
06/07/2026,100000000,VHC,1,100,57600.0,5760000.0,0.0573,0.0576,99861000.0,139000.0,0.5504
06/07/2026,100000000,VIX,1,100,16300.0,1630000.0,0.0149,0.0163,99861000.0,139000.0,0.5504
13/07/2026,100000000,CTD,1,100,67600.0,6760000.0,0.0413,0.0676,99496000.0,504000.0,0.5238
13/07/2026,100000000,DBC,1,100,16900.0,1690000.0,0.0138,0.0169,99496000.0,504000.0,0.5238
13/07/2026,100000000,DGW,2,200,38550.0,7710000.0,0.0459,0.0771,99496000.0,504000.0,0.5238
13/07/2026,100000000,DXG,2,200,12100.0,2420000.0,0.02,0.0242,99496000.0,504000.0,0.5238
13/07/2026,100000000,EIB,3,300,19350.0,5805000.0,0.044,0.058,99496000.0,504000.0,0.5238
13/07/2026,100000000,HAG,2,200,14650.0,2930000.0,0.0207,0.0293,99496000.0,504000.0,0.5238
13/07/2026,100000000,HDC,3,300,14350.0,4305000.0,0.0414,0.043,99496000.0,504000.0,0.5238
13/07/2026,100000000,IMP,3,300,39600.0,11880000.0,0.0936,0.1188,99496000.0,504000.0,0.5238
13/07/2026,100000000,KDC,2,200,49800.0,9960000.0,0.0524,0.0996,99496000.0,504000.0,0.5238
13/07/2026,100000000,KDH,2,200,19800.0,3960000.0,0.0311,0.0396,99496000.0,504000.0,0.5238
13/07/2026,100000000,NLG,1,100,25350.0,2535000.0,0.0252,0.0254,99496000.0,504000.0,0.5238
13/07/2026,100000000,PDR,4,400,13800.0,5520000.0,0.044,0.0552,99496000.0,504000.0,0.5238
13/07/2026,100000000,SJS,1,100,47800.0,4780000.0,0.0329,0.0478,99496000.0,504000.0,0.5238
13/07/2026,100000000,TCH,5,500,13800.0,6900000.0,0.0642,0.069,99496000.0,504000.0,0.5238
13/07/2026,100000000,VCB,1,100,58470.0,5847000.0,0.0393,0.0585,99496000.0,504000.0,0.5238
