symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
A32,Công ty Cổ phần 32,CT,1,3000,Hàng Tiêu dùng
A32,Công ty Cổ phần 32,CT,2,3700,Hàng cá nhân & Gia dụng
A32,Công ty Cổ phần 32,CT,3,3760,Hàng cá nhân
A32,Công ty Cổ phần 32,CT,4,3765,Giầy dép
AAA,Công ty Cổ phần Nhựa An Phát Xanh,CT,1,1000,Nguyên vật liệu
AAA,Công ty Cổ phần Nhựa An Phát Xanh,CT,2,1300,Hóa chất
AAA,Công ty Cổ phần Nhựa An Phát Xanh,CT,3,1350,Hóa chất
AAA,Công ty Cổ phần Nhựa An Phát Xanh,CT,4,1353,"Nhựa, cao su & sợi"
AAH,Công ty Cổ phần Hợp Nhất,CT,1,1000,Nguyên vật liệu
AAH,Công ty Cổ phần Hợp Nhất,CT,2,1700,Tài nguyên Cơ bản
AAH,Công ty Cổ phần Hợp Nhất,CT,3,1770,Khai khoáng
AAH,Công ty Cổ phần Hợp Nhất,CT,4,1771,Khai thác Than
AAM,Công ty Cổ Phần Thủy Sản MeKong,CT,1,3000,Hàng Tiêu dùng
AAM,Công ty Cổ Phần Thủy Sản MeKong,CT,2,3500,Thực phẩm và đồ uống
AAM,Công ty Cổ Phần Thủy Sản MeKong,CT,3,3570,Sản xuất thực phẩm
AAM,Công ty Cổ Phần Thủy Sản MeKong,CT,4,3573,Nuôi trồng nông & hải sản
AAN,Công ty Cổ phần Lương thực A An,CT,1,3000,Hàng Tiêu dùng
AAN,Công ty Cổ phần Lương thực A An,CT,2,3500,Thực phẩm và đồ uống
AAN,Công ty Cổ phần Lương thực A An,CT,3,3570,Sản xuất thực phẩm
AAN,Công ty Cổ phần Lương thực A An,CT,4,3573,Nuôi trồng nông & hải sản
AAS,Công ty Cổ phần Chứng khoán SmartInvest,CK,1,8000,Tài chính
AAS,Công ty Cổ phần Chứng khoán SmartInvest,CK,2,8700,Dịch vụ tài chính
AAS,Công ty Cổ phần Chứng khoán SmartInvest,CK,3,8770,Dịch vụ tài chính
AAS,Công ty Cổ phần Chứng khoán SmartInvest,CK,4,8777,Môi giới chứng khoán
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,CT,1,3000,Hàng Tiêu dùng
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,CT,2,3700,Hàng cá nhân & Gia dụng
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,CT,3,3760,Hàng cá nhân
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,CT,4,3763,Hàng May mặc
AAV,Công ty Cổ phần AAV Group,CT,1,8000,Tài chính
AAV,Công ty Cổ phần AAV Group,CT,2,8600,Bất động sản
AAV,Công ty Cổ phần AAV Group,CT,3,8630,Bất động sản
AAV,Công ty Cổ phần AAV Group,CT,4,8633,Bất động sản
ABA,Công ty Cổ phần Giải pháp Thương mại A BA,CT,1,2000,Công nghiệp
ABA,Công ty Cổ phần Giải pháp Thương mại A BA,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ABA,Công ty Cổ phần Giải pháp Thương mại A BA,CT,3,2770,Vận tải
ABA,Công ty Cổ phần Giải pháp Thương mại A BA,CT,4,2779,Dịch vụ vận tải
ABB,Ngân hàng Thương mại Cổ phần An Bình,NH,1,8301,Ngân hàng
ABB,Ngân hàng Thương mại Cổ phần An Bình,NH,2,8300,Ngân hàng
ABB,Ngân hàng Thương mại Cổ phần An Bình,NH,3,8350,Ngân hàng
ABB,Ngân hàng Thương mại Cổ phần An Bình,NH,4,8355,Ngân hàng
ABC,Công ty Cổ phần Truyền thông VMG,CT,1,6000,Viễn thông
ABC,Công ty Cổ phần Truyền thông VMG,CT,2,6500,Viễn thông
ABC,Công ty Cổ phần Truyền thông VMG,CT,3,6570,Viễn thông di động
ABC,Công ty Cổ phần Truyền thông VMG,CT,4,6575,Viễn thông di động
ABEF,Quỹ Đầu tư Cổ phiếu An Bình Thịnh Vượng,QU,1,8000,Tài chính
ABEF,Quỹ Đầu tư Cổ phiếu An Bình Thịnh Vượng,QU,2,8700,Dịch vụ tài chính
ABEF,Quỹ Đầu tư Cổ phiếu An Bình Thịnh Vượng,QU,3,8980,Quỹ đầu tư
ABEF,Quỹ Đầu tư Cổ phiếu An Bình Thịnh Vượng,QU,4,8985,Quỹ đầu tư
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH,1,8000,Tài chính
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH,2,8500,Bảo hiểm
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH,3,8530,Bảo hiểm phi nhân thọ
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH,4,8536,Bảo hiểm phi nhân thọ
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,CT,1,2000,Công nghiệp
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,CT,3,2790,Tư vấn & Hỗ trợ Kinh doanh
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,CT,4,2791,Tư vấn & Hỗ trợ KD
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,1,1000,Nguyên vật liệu
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,2,1300,Hóa chất
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,3,1350,Hóa chất
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,1,3000,Hàng Tiêu dùng
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,2,3500,Thực phẩm và đồ uống
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,3,3570,Sản xuất thực phẩm
