quarter,fdi_usd_million
2016-11,1250.0
2016-12,1250.0
2017-01,963.3333333333334
2017-02,963.3333333333334
2017-03,963.3333333333334
2017-04,1120.0
2017-05,1120.0
2017-06,1120.0
2017-07,1296.6666666666667
2017-08,1296.6666666666667
2017-09,1296.6666666666667
2017-10,1320.0
2017-11,1320.0
2017-12,1320.0
2018-01,1033.3333333333333
2018-02,1033.3333333333333
2018-03,1033.3333333333333
2018-04,1210.0
2018-05,1210.0
2018-06,1210.0
2018-07,1293.3333333333333
2018-08,1293.3333333333333
2018-09,1293.3333333333333
2018-10,1630.0
2018-11,1630.0
2018-12,1630.0
2019-01,1073.3333333333333
2019-02,1073.3333333333333
2019-03,1073.3333333333333
2019-04,1323.3333333333333
2019-05,1323.3333333333333
2019-06,1323.3333333333333
2019-07,1360.0
2019-08,1360.0
2019-09,1360.0
2019-10,1616.6666666666667
2019-11,1616.6666666666667
2019-12,1616.6666666666667
2020-01,1006.6666666666666
2020-02,1006.6666666666666
2020-03,1006.6666666666666
2020-04,1246.6666666666667
2020-05,1246.6666666666667
2020-06,1246.6666666666667
2020-07,1360.0
2020-08,1360.0
2020-09,1360.0
2020-10,1653.3333333333333
2020-11,1653.3333333333333
2020-12,1653.3333333333333
2021-01,1093.3333333333333
2021-02,1093.3333333333333
2021-03,1093.3333333333333
2021-04,1373.3333333333333
2021-05,1373.3333333333333
2021-06,1373.3333333333333
2021-07,1373.3333333333333
2021-08,1373.3333333333333
2021-09,1373.3333333333333
2021-10,1373.3333333333333
2021-11,1373.3333333333333
2021-12,1373.3333333333333
2022-01,1373.3333333333333
2022-02,1373.3333333333333
2022-03,1373.3333333333333
2022-04,1373.3333333333333
2022-05,1373.3333333333333
2022-06,1373.3333333333333
2022-07,1373.3333333333333
2022-08,1373.3333333333333
2022-09,1373.3333333333333
2022-10,1373.3333333333333
2022-11,1373.3333333333333
2022-12,1373.3333333333333
2023-01,1373.3333333333333
2023-02,1373.3333333333333
2023-03,1373.3333333333333
2023-04,1373.3333333333333
2023-05,1373.3333333333333
2023-06,1373.3333333333333
2023-07,1373.3333333333333
2023-08,1373.3333333333333
2023-09,1373.3333333333333
2023-10,1373.3333333333333
2023-11,1373.3333333333333
2023-12,1373.3333333333333
2024-01,1373.3333333333333
2024-02,1373.3333333333333
2024-03,1373.3333333333333
2024-04,1373.3333333333333
2024-05,1373.3333333333333
2024-06,1373.3333333333333
2024-07,1373.3333333333333
2024-08,1373.3333333333333
2024-09,1373.3333333333333
2024-10,1373.3333333333333
2024-11,1373.3333333333333
2024-12,1373.3333333333333
2025-01,1373.3333333333333
2025-02,1373.3333333333333
2025-03,1373.3333333333333
2025-04,1373.3333333333333
2025-05,1373.3333333333333
2025-06,1373.3333333333333
2025-07,1373.3333333333333
2025-08,1373.3333333333333
2025-09,1373.3333333333333
2025-10,1373.3333333333333
2025-11,1373.3333333333333
2025-12,1373.3333333333333
2026-01,1373.3333333333333
2026-02,1373.3333333333333
2026-03,1373.3333333333333
2026-04,1373.3333333333333
2026-05,1373.3333333333333
