DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,date,GPRD_MA30,GPRD_MA7,event,var_name,var_label
20161110,744,71.2380142211914,35.509368896484375,88.8549575805664,2016-11-10,82.34182739257812,65.72977447509766,,,
20161111,733,94.90303039550781,108.12674713134766,75.15699005126953,2016-11-11,82.11817932128906,72.39907836914062,,,
20161112,837,39.57667541503906,31.56388282775879,52.654788970947266,2016-11-12,79.68609619140625,68.74966430664062,,,
20161113,441,67.60342407226562,59.90696334838867,62.46040725708008,2016-11-13,78.83352661132812,68.45632934570312,,,
20161114,562,153.25045776367188,141.0265350341797,147.03756713867188,2016-11-14,81.92693328857422,80.91905975341797,,,
20161115,610,81.45658111572266,64.96468353271484,99.34276580810547,2016-11-15,82.85708618164062,79.74551391601562,,,
20161116,620,106.85701751708984,127.83372497558594,79.96946716308594,2016-11-16,82.12708282470703,87.84074401855469,,,
20161117,663,59.95597839355469,89.65714263916016,33.23685073852539,2016-11-17,80.31149291992188,86.2290267944336,,,
20161118,719,92.14374542236328,64.30208587646484,130.25469970703125,2016-11-18,79.64295959472656,85.8348388671875,,,
20161119,803,61.87860107421875,49.35050582885742,68.6053237915039,2016-11-19,77.85375213623047,89.02082824707031,,,
20161120,441,52.5804443359375,59.90696334838867,37.47624206542969,2016-11-20,76.97372436523438,86.87468719482422,,,
20161121,559,118.51763153076172,129.96810913085938,118.26134490966797,2016-11-21,78.2032241821289,81.91285705566406,,,
20161122,629,100.06166076660156,115.50423431396484,96.3419418334961,2016-11-22,78.87791442871094,84.57072448730469,,,
20161123,569,75.68257141113281,46.43052673339844,87.13719940185547,2016-11-23,78.53264617919922,80.11723327636719,,,
20161124,587,67.71858978271484,67.51014709472656,75.08016967773438,2016-11-24,78.41336059570312,81.22618103027344,,,
20161125,563,76.48912811279297,70.38802337646484,68.49565887451172,2016-11-25,77.73123168945312,78.98980712890625,,,
20161126,757,83.14237976074219,78.5240249633789,94.60647583007812,2016-11-26,77.19950866699219,82.0274887084961,,,
20161127,422,109.89561462402344,125.2083969116211,130.5452117919922,2016-11-27,78.12237548828125,90.21537017822266,,,
20161128,566,111.19926452636719,128.3607177734375,97.33229064941406,2016-11-28,79.60114288330078,89.16988372802734,,,
20161129,615,145.42979431152344,204.04896545410156,107.49282836914062,2016-11-29,81.70082092285156,95.65104675292969,,,
20161130,634,120.1720199584961,177.09877014160156,69.51428985595703,2016-11-30,83.57939910888672,102.00668334960938,,,
20161201,723,146.6143341064453,118.75747680664062,160.01266479492188,2016-12-01,85.47749328613281,113.27750396728516,,,
20161202,715,64.86146545410156,55.424415588378906,61.63924789428711,2016-12-02,85.07166290283203,111.61640930175781,,,
20161203,729,36.35190963745117,36.240013122558594,30.227750778198242,2016-12-03,84.21502685546875,104.93206024169922,,,
20161204,433,22.950815200805664,30.506893157958984,25.445762634277344,2016-12-04,83.37278747558594,92.5113754272461,,,
20161205,583,85.22901153564453,101.96000671386719,56.696475982666016,2016-12-05,84.04300689697266,88.80133819580078,,,
20161206,628,68.572265625,42.068424224853516,78.95074462890625,2016-12-06,84.00685119628906,77.82168579101562,,,
20161207,609,103.3477554321289,151.83316040039062,63.32192611694336,2016-12-07,85.25140380859375,75.41822052001953,,,
20161208,659,75.39987182617188,40.08948516845703,100.3157730102539,2016-12-08,84.77568054199219,65.2447280883789,,,
20161209,699,71.08514404296875,75.59075927734375,63.0501594543457,2016-12-09,85.47217559814453,66.13382720947266,,,
20161210,741,62.58562469482422,35.65312957763672,74.3455810546875,2016-12-10,85.18376159667969,69.88150024414062,,,
20161211,420,47.32239532470703,78.62789154052734,26.233369827270508,2016-12-11,83.59774017333984,73.36315155029297,,,
20161212,555,95.49745178222656,95.20349884033203,79.40911865234375,2016-12-12,85.46176147460938,74.83007049560547,,,
20161213,580,137.07176208496094,136.64984130859375,132.97604370117188,2016-12-13,87.77737426757812,84.61571502685547,,,
20161214,627,110.9472427368164,147.4743194580078,79.07666778564453,2016-12-14,86.36727142333984,85.70135498046875,,,
20161215,669,108.9334716796875,118.4707260131836,98.8162841796875,2016-12-15,87.28316497802734,90.49186706542969,,,
20161216,706,107.91650390625,74.84127807617188,140.45628356933594,2016-12-16,87.3184814453125,95.75349426269531,,,
20161217,696,57.11323547363281,66.42700958251953,63.32192611694336,2016-12-17,87.22372436523438,94.97172546386719,,,
20161218,406,81.59033203125,81.33919525146484,108.55187225341797,2016-12-18,86.87194061279297,99.86714172363281,,,
20161219,540,85.88137817382812,97.84803771972656,61.21119689941406,2016-12-19,87.67203521728516,98.49341583251953,,,
20161220,549,114.6426010131836,120.30496215820312,130.45008850097656,2016-12-20,89.74077606201172,95.28925323486328,,,
20161221,594,195.18496704101562,311.33465576171875,111.29308319091797,2016-12-21,92.29634857177734,107.32321166992188,,,
20161222,582,125.21733856201172,147.5286102294922,123.05343627929688,2016-12-22,93.13487243652344,109.64948272705078,,,
20161223,616,182.83653259277344,246.6056365966797,134.1479034423828,2016-12-23,96.70667266845703,120.35234069824219,,,
20161224,593,100.55011749267578,89.10276794433594,120.77082061767578,2016-12-24,97.80105590820312,126.55760955810547,,,
20161225,331,90.06981658935547,119.72342681884766,66.57411193847656,2016-12-25,98.25374603271484,127.76896667480469,,,
