date,FID_PA,FIR_PA
2016-11,2.5,4.0
2016-12,2.5,4.0
2017-01,2.5,4.0
2017-02,2.5,4.0
2017-03,2.5,4.0
2017-04,2.5,4.0
2017-05,2.5,4.0
2017-06,2.5,4.0
2017-07,2.5,4.0
2017-08,2.5,4.0
2017-09,2.5,4.0
2017-10,2.5,4.0
2017-11,2.5,4.0
2017-12,2.5,4.0
2018-01,2.5,4.0
2018-02,2.5,4.0
2018-03,2.5,4.0
2018-04,2.5,4.0
2018-05,2.5,4.0
2018-06,2.5,4.0
2018-07,2.5,4.0
2018-08,2.5,4.0
2018-09,2.5,4.0
2018-10,2.5,4.0
2018-11,2.5,4.0
2018-12,2.5,4.0
2019-01,2.5,4.0
2019-02,2.5,4.0
2019-03,2.5,4.0
2019-04,2.5,4.0
2019-05,2.5,4.0
2019-06,2.5,4.0
2019-07,2.5,4.0
2019-08,2.5,4.0
2019-09,2.5,4.0
2019-10,2.5,4.0
2019-11,2.5,4.0
2019-12,2.5,4.0
2020-01,2.5,4.0
2020-02,2.5,4.0
2020-03,2.5,4.0
2020-04,2.5,4.0
2020-05,2.5,4.0
2020-06,2.5,4.0
2020-07,2.5,4.0
2020-08,2.5,4.0
2020-09,2.5,4.0
2020-10,2.5,4.0
2020-11,2.5,4.0
2020-12,2.5,4.0
2021-01,2.5,4.0
2021-02,2.5,4.0
2021-03,2.5,4.0
2021-04,2.5,4.0
2021-05,2.5,4.0
2021-06,2.5,4.0
2021-07,2.5,4.0
2021-08,2.5,4.0
2021-09,2.5,4.0
2021-10,2.5,4.0
2021-11,2.5,4.0
2021-12,2.5,4.0
2022-01,2.5,4.0
2022-02,2.5,4.0
2022-03,2.5,4.0
2022-04,2.5,4.0
2022-05,2.5,4.0
2022-06,2.5,4.0
2022-07,2.5,4.0
2022-08,2.5,4.0
2022-09,3.5,5.0
2022-10,4.5,6.0
2022-11,4.5,6.0
2022-12,4.5,6.0
2023-01,4.5,6.0
2023-02,4.5,6.0
2023-03,4.5,6.0
2023-04,4.5,6.0
2023-05,4.5,6.0
2023-06,4.5,6.0
2023-07,4.5,6.0
2023-08,4.5,6.0
2023-09,4.5,6.0
2023-10,3.0,4.5
2023-11,3.0,4.5
2023-12,3.0,4.5
2024-01,3.0,4.5
2024-02,3.0,4.5
2024-03,3.0,4.5
2024-04,3.0,4.5
2024-05,3.0,4.5
2024-06,3.0,4.5
2024-07,3.0,4.5
2024-08,3.0,4.5
2024-09,3.0,4.5
2024-10,3.0,4.5
2024-11,3.0,4.5
2024-12,3.0,4.5
2025-01,3.0,4.5
2025-02,3.0,4.5
2025-03,3.0,4.5
2025-04,3.0,4.5
2025-05,3.0,4.5
2025-06,3.0,4.5
2025-07,3.0,4.5
2025-08,3.0,4.5
2025-09,3.0,4.5
2025-10,3.0,4.5
2025-11,3.0,4.5
2025-12,3.0,4.5
2026-01,3.0,4.5
2026-02,3.0,4.5
2026-03,3.0,4.5
2026-04,3.0,4.5
2026-05,3.0,4.5
