time,open,high,low,close,volume
2017-07-20 07:00:00,11.75,11.75,11.75,11.75,2000
2017-07-21 07:00:00,12.58,12.58,12.58,12.58,10010
2017-07-24 07:00:00,13.43,13.43,13.43,13.43,10
2017-07-25 07:00:00,14.36,14.36,14.36,14.36,10
2017-07-26 07:00:00,15.35,15.35,15.35,15.35,6020
2017-07-27 07:00:00,16.41,16.41,15.56,16.41,1078970
2017-07-28 07:00:00,17.41,17.54,17.34,17.54,360000
2017-07-31 07:00:00,18.74,18.74,18.74,18.74,220000
2017-08-01 07:00:00,20.05,20.05,20.05,20.05,551530
2017-08-02 07:00:00,21.42,21.42,19.19,19.87,703050
2017-08-03 07:00:00,19.87,19.87,18.5,18.5,353980
2017-08-04 07:00:00,19.19,19.77,18.5,19.74,194320
2017-08-07 07:00:00,20.49,20.49,19.33,19.74,124720
2017-08-08 07:00:00,19.19,19.33,18.57,18.57,245060
2017-08-09 07:00:00,18.5,18.98,17.3,18.98,675340
2017-08-10 07:00:00,18.98,18.98,17.75,17.89,86550
2017-08-11 07:00:00,17.13,18.5,17.13,18.5,152900
2017-08-14 07:00:00,18.5,18.68,17.54,18.13,161420
2017-08-15 07:00:00,17.89,17.89,16.86,17.27,391180
2017-08-16 07:00:00,17.68,17.68,17.2,17.48,106700
2017-08-17 07:00:00,17.48,17.61,17.34,17.34,80110
2017-08-18 07:00:00,17.34,17.34,17.0,17.13,67000
2017-08-21 07:00:00,17.1,17.65,17.06,17.61,135980
2017-08-22 07:00:00,17.61,17.61,17.24,17.41,16960
2017-08-23 07:00:00,17.13,17.41,17.13,17.27,38920
2017-08-24 07:00:00,17.27,17.27,17.06,17.13,22810
2017-08-25 07:00:00,17.13,17.54,17.13,17.41,158370
2017-08-28 07:00:00,17.13,17.72,17.06,17.68,161300
2017-08-29 07:00:00,17.82,17.82,17.34,17.68,62230
2017-08-30 07:00:00,17.61,17.61,17.13,17.34,114910
2017-08-31 07:00:00,17.24,17.51,16.93,17.13,225550
2017-09-01 07:00:00,17.13,17.51,17.06,17.48,161080
2017-09-05 07:00:00,17.78,17.78,17.27,17.48,126890
2017-09-06 07:00:00,17.17,17.34,17.13,17.2,521380
2017-09-07 07:00:00,17.27,17.34,17.13,17.34,172410
2017-09-08 07:00:00,17.41,18.09,17.37,17.75,253780
2017-09-11 07:00:00,18.16,18.43,17.48,17.82,320470
2017-09-12 07:00:00,17.37,18.02,17.37,17.82,482780
2017-09-13 07:00:00,18.33,18.5,17.61,18.16,585880
2017-09-14 07:00:00,18.64,19.19,18.37,18.57,607710
2017-09-15 07:00:00,18.85,19.02,18.4,18.4,696120
2017-09-18 07:00:00,18.4,18.54,18.02,18.16,475760
2017-09-19 07:00:00,18.02,18.16,17.75,17.82,1038800
2017-09-20 07:00:00,17.82,17.82,17.27,17.27,1205870
2017-09-21 07:00:00,17.27,17.54,17.27,17.48,1105750
2017-09-22 07:00:00,17.95,18.68,17.95,18.68,969900
2017-09-25 07:00:00,19.19,19.46,18.64,18.78,268030
2017-09-26 07:00:00,18.78,18.78,18.26,18.5,347490
2017-09-27 07:00:00,18.5,18.68,18.37,18.57,212930
2017-09-28 07:00:00,18.71,18.71,18.47,18.5,399530
2017-09-29 07:00:00,18.64,18.68,18.09,18.43,146050
2017-10-02 07:00:00,18.57,18.57,18.02,18.16,176220
2017-10-03 07:00:00,18.16,18.16,17.72,17.82,227080
2017-10-04 07:00:00,18.02,18.09,17.82,17.92,56960
2017-10-05 07:00:00,18.43,18.43,17.89,17.89,136710
2017-10-06 07:00:00,17.75,17.99,17.68,17.78,134870
2017-10-09 07:00:00,18.16,18.16,17.61,17.78,102920
2017-10-10 07:00:00,17.82,17.82,17.61,17.78,141910
2017-10-11 07:00:00,17.61,17.78,17.61,17.78,107260
2017-10-12 07:00:00,17.78,18.5,17.68,18.5,245820
2017-10-13 07:00:00,18.5,18.85,18.23,18.68,347950
2017-10-16 07:00:00,18.5,18.71,18.5,18.61,318450
2017-10-17 07:00:00,18.61,18.61,18.26,18.26,218340
2017-10-18 07:00:00,18.26,18.5,18.16,18.16,81190
2017-10-19 07:00:00,17.89,18.37,17.85,18.23,125880
2017-10-20 07:00:00,18.26,18.4,18.02,18.02,184910
2017-10-23 07:00:00,17.82,17.82,17.41,17.41,816130
2017-10-24 07:00:00,17.13,17.54,16.79,17.2,634590
2017-10-25 07:00:00,17.48,18.3,17.48,17.89,909870
2017-10-26 07:00:00,18.02,18.06,17.82,17.82,496990
2017-10-27 07:00:00,17.82,17.89,17.54,17.54,305970
2017-10-30 07:00:00,17.54,17.54,17.34,17.54,218990
2017-10-31 07:00:00,17.41,17.54,17.27,17.34,143460
2017-11-01 07:00:00,17.48,17.61,17.37,17.51,142450
2017-11-02 07:00:00,17.54,17.54,16.31,17.13,308420
2017-11-03 07:00:00,17.13,17.27,16.93,17.13,278550
2017-11-06 07:00:00,17.13,17.27,17.13,17.13,62350
2017-11-07 07:00:00,17.13,17.54,17.13,17.48,122000
2017-11-08 07:00:00,17.41,17.41,17.13,17.17,248710
2017-11-09 07:00:00,17.2,17.37,17.13,17.34,90240
2017-11-10 07:00:00,17.37,17.37,17.13,17.17,270440
2017-11-13 07:00:00,17.1,17.17,16.79,16.79,163100
2017-11-14 07:00:00,16.79,17.34,16.52,16.82,562720
2017-11-15 07:00:00,16.89,17.13,16.89,17.0,400170
2017-11-16 07:00:00,16.93,17.54,16.93,17.44,254430
2017-11-17 07:00:00,17.44,17.51,17.17,17.17,266190
2017-11-20 07:00:00,17.17,17.44,17.06,17.06,158930
2017-11-21 07:00:00,17.27,17.31,16.92,16.96,98690
2017-11-22 07:00:00,16.96,17.31,16.96,17.17,208710
2017-11-23 07:00:00,17.51,17.51,17.03,17.31,216190
2017-11-24 07:00:00,17.31,17.31,17.03,17.1,133290
2017-11-27 07:00:00,17.1,17.17,16.89,16.96,89850
2017-11-28 07:00:00,17.03,17.24,16.54,16.96,324720
2017-11-29 07:00:00,16.96,16.96,15.78,15.82,587020
2017-11-30 07:00:00,16.16,16.16,15.68,15.96,159140
2017-12-01 07:00:00,15.92,16.51,15.85,16.48,239280
2017-12-04 07:00:00,16.48,16.72,16.06,16.48,340630
2017-12-05 07:00:00,16.48,16.48,16.2,16.41,121990
2017-12-06 07:00:00,16.48,16.48,16.09,16.2,144070
2017-12-07 07:00:00,16.27,16.37,15.96,16.2,93600
2017-12-08 07:00:00,16.2,16.2,15.82,15.92,464320
2017-12-11 07:00:00,15.92,15.92,15.78,15.78,191290
2017-12-12 07:00:00,15.78,15.78,14.99,15.23,140320
2017-12-13 07:00:00,14.95,15.23,14.88,15.23,266020
2017-12-14 07:00:00,15.23,15.3,14.54,14.54,363340
2017-12-15 07:00:00,14.54,15.54,14.54,15.54,494780
2017-12-18 07:00:00,15.92,15.92,15.58,15.92,188120
2017-12-19 07:00:00,15.85,15.85,15.58,15.58,124010
2017-12-20 07:00:00,15.75,15.82,15.51,15.75,114030
2017-12-21 07:00:00,15.75,15.85,15.47,15.85,97660
2017-12-22 07:00:00,15.58,15.78,15.58,15.78,156870
2017-12-25 07:00:00,15.78,16.02,15.64,15.75,182590
2017-12-26 07:00:00,15.58,15.75,15.51,15.71,153420
2017-12-27 07:00:00,15.58,15.71,15.37,15.64,113030
2017-12-28 07:00:00,15.82,15.82,15.54,15.71,175190
