time,open,high,low,close,volume
2016-11-10 07:00:00,6.99,7.07,6.99,7.05,669330
2016-11-11 07:00:00,7.05,7.07,6.99,6.99,316350
2016-11-14 07:00:00,7.03,7.03,6.99,7.01,303890
2016-11-15 07:00:00,7.01,7.03,6.99,7.01,225170
2016-11-16 07:00:00,7.05,7.05,6.97,6.97,167420
2016-11-17 07:00:00,6.97,7.01,6.9,6.9,569800
2016-11-18 07:00:00,6.9,6.94,6.86,6.9,284580
2016-11-21 07:00:00,6.9,7.03,6.9,7.03,591420
2016-11-22 07:00:00,7.01,7.12,6.99,7.12,532560
2016-11-23 07:00:00,7.09,7.14,7.07,7.12,412630
2016-11-24 07:00:00,7.07,7.12,6.92,6.97,322620
2016-11-25 07:00:00,7.01,7.01,6.88,6.9,728280
2016-11-28 07:00:00,6.92,6.92,6.82,6.84,334410
2016-11-29 07:00:00,6.82,6.9,6.82,6.82,452340
2016-11-30 07:00:00,6.82,6.88,6.8,6.84,379010
2016-12-01 07:00:00,6.84,6.9,6.84,6.88,441510
2016-12-02 07:00:00,6.9,6.94,6.86,6.86,589230
2016-12-05 07:00:00,6.92,6.92,6.82,6.82,687550
2016-12-06 07:00:00,6.82,6.88,6.67,6.67,692140
2016-12-07 07:00:00,6.67,6.71,6.63,6.65,607910
2016-12-08 07:00:00,6.65,6.8,6.6,6.6,562000
2016-12-09 07:00:00,6.6,6.67,6.54,6.54,581760
2016-12-12 07:00:00,6.58,6.58,6.29,6.37,894390
2016-12-13 07:00:00,6.41,6.41,6.18,6.2,675590
2016-12-14 07:00:00,6.2,6.31,6.2,6.22,453960
2016-12-15 07:00:00,6.29,6.54,6.24,6.31,616860
2016-12-16 07:00:00,6.35,6.37,6.31,6.37,465860
2016-12-19 07:00:00,6.46,6.63,6.44,6.5,882180
2016-12-20 07:00:00,6.5,6.63,6.48,6.48,555100
2016-12-21 07:00:00,6.48,6.54,6.41,6.46,702700
2016-12-22 07:00:00,6.48,6.5,6.37,6.41,517150
2016-12-23 07:00:00,6.39,6.46,6.35,6.46,481330
2016-12-26 07:00:00,6.46,6.5,6.39,6.44,326280
2016-12-27 07:00:00,6.44,6.48,6.41,6.46,263280
2016-12-28 07:00:00,6.46,6.48,6.41,6.46,538430
2016-12-29 07:00:00,6.41,6.5,6.37,6.37,882870
2016-12-30 07:00:00,6.37,6.48,6.33,6.39,430500
2017-01-03 07:00:00,6.48,6.84,6.48,6.84,1008370
2017-01-04 07:00:00,6.94,7.05,6.84,6.97,1006570
2017-01-05 07:00:00,6.92,7.01,6.8,7.01,892010
2017-01-06 07:00:00,6.88,7.26,6.84,7.07,1151370
2017-01-09 07:00:00,7.22,7.35,7.14,7.26,1335810
2017-01-10 07:00:00,7.22,7.22,7.14,7.18,693510
2017-01-11 07:00:00,7.18,7.52,7.18,7.52,2008310
2017-01-12 07:00:00,7.52,7.56,7.39,7.48,739950
2017-01-13 07:00:00,7.48,7.48,7.33,7.35,623490
2017-01-16 07:00:00,7.53,7.53,7.3,7.3,815390
2017-01-17 07:00:00,7.44,7.81,7.42,7.81,3003990
2017-01-18 07:00:00,7.81,8.08,7.61,7.66,1624550
2017-01-19 07:00:00,7.57,7.81,7.57,7.81,1088370
2017-01-20 07:00:00,7.81,8.06,7.79,7.92,2339900
2017-01-23 07:00:00,7.92,8.43,7.9,8.1,2995710
2017-01-24 07:00:00,8.23,8.3,8.01,8.21,2109910
2017-01-25 07:00:00,8.19,8.3,8.01,8.21,2442780
2017-02-02 07:00:00,8.23,8.41,8.14,8.28,1314520
2017-02-03 07:00:00,8.28,8.37,8.06,8.17,2070490
2017-02-06 07:00:00,8.12,8.21,8.04,8.1,1384570
2017-02-07 07:00:00,8.08,8.26,8.01,8.04,3218470
2017-02-08 07:00:00,8.04,8.08,7.88,7.9,2904010
2017-02-09 07:00:00,7.95,8.06,7.95,7.99,1592330
2017-02-10 07:00:00,7.99,8.28,7.97,8.21,3566190
2017-02-13 07:00:00,8.21,8.26,8.12,8.19,1937220
2017-02-14 07:00:00,8.17,8.32,8.17,8.26,2680990
2017-02-15 07:00:00,8.26,8.59,8.26,8.54,4804180
2017-02-16 07:00:00,8.59,8.7,8.41,8.54,5808080
2017-02-17 07:00:00,8.5,8.54,8.35,8.37,2778190
2017-02-20 07:00:00,8.3,8.41,8.14,8.19,2694060
2017-02-21 07:00:00,8.28,8.35,8.1,8.1,2330830
2017-02-22 07:00:00,8.14,8.14,7.9,7.97,3853650
2017-02-23 07:00:00,8.01,8.04,7.75,7.92,2473690
2017-02-24 07:00:00,7.97,8.14,7.84,7.99,1407370
2017-02-27 07:00:00,7.92,8.17,7.9,8.1,1522540
2017-02-28 07:00:00,8.12,8.19,8.01,8.08,2586140
2017-03-01 07:00:00,8.06,8.08,7.86,7.97,1182670
2017-03-02 07:00:00,8.06,8.06,7.92,7.95,816410
2017-03-03 07:00:00,7.95,8.12,7.84,8.1,1754040
2017-03-06 07:00:00,8.19,8.28,8.1,8.14,1718240
2017-03-07 07:00:00,8.08,8.19,8.08,8.1,844680
2017-03-08 07:00:00,8.08,8.35,7.99,8.12,1972150
2017-03-09 07:00:00,8.12,8.28,8.12,8.14,1281380
2017-03-10 07:00:00,8.14,8.26,8.06,8.06,969700
2017-03-13 07:00:00,8.06,8.08,7.95,7.95,1059150
2017-03-14 07:00:00,7.92,8.01,7.88,7.92,1001120
2017-03-15 07:00:00,7.92,8.01,7.86,7.88,1048050
2017-03-16 07:00:00,7.92,8.01,7.88,7.9,886330
2017-03-17 07:00:00,7.97,8.1,7.97,7.99,696990
2017-03-20 07:00:00,8.06,8.14,7.97,8.1,1679060
2017-03-21 07:00:00,8.17,8.28,8.14,8.19,2470110
2017-03-22 07:00:00,8.28,8.37,8.12,8.12,2382120
2017-03-23 07:00:00,8.12,8.21,8.08,8.19,932740
2017-03-24 07:00:00,8.23,8.35,8.19,8.28,2471790
2017-03-27 07:00:00,8.37,8.52,8.28,8.32,1622690
2017-03-28 07:00:00,8.32,8.37,8.14,8.19,992200
2017-03-29 07:00:00,8.17,8.19,8.1,8.12,1098970
2017-03-30 07:00:00,8.14,8.23,8.12,8.12,992300
2017-03-31 07:00:00,8.17,8.17,7.97,8.01,1445170
2017-04-03 07:00:00,8.04,8.06,7.92,7.97,1573370
2017-04-04 07:00:00,8.01,8.04,7.95,7.95,775940
2017-04-05 07:00:00,7.99,8.04,7.92,7.97,798240
2017-04-07 07:00:00,7.95,8.01,7.9,7.97,681240
2017-04-10 07:00:00,7.97,8.04,7.92,7.92,447310
2017-04-11 07:00:00,7.92,8.04,7.86,8.01,1238960
2017-04-12 07:00:00,7.97,8.1,7.88,7.88,1144700
2017-04-13 07:00:00,7.92,7.99,7.86,7.86,954120
2017-04-14 07:00:00,7.79,7.86,7.7,7.75,1645800
2017-04-17 07:00:00,7.75,7.88,7.53,7.53,1623170
2017-04-18 07:00:00,7.53,7.66,7.5,7.66,1077960
2017-04-19 07:00:00,7.64,7.7,7.64,7.66,497490
2017-04-20 07:00:00,7.7,7.77,7.59,7.7,453700
2017-04-21 07:00:00,7.7,7.7,7.55,7.57,652400
2017-04-24 07:00:00,7.57,7.61,7.53,7.53,363620
2017-04-25 07:00:00,7.53,7.66,7.5,7.57,286970
2017-04-26 07:00:00,7.53,7.66,7.53,7.61,475310
2017-04-27 07:00:00,7.61,7.7,7.61,7.66,410720
2017-04-28 07:00:00,7.66,7.81,7.61,7.68,692930
2017-05-03 07:00:00,7.77,7.79,7.68,7.75,474500
2017-05-04 07:00:00,7.75,7.97,7.7,7.88,973500
2017-05-05 07:00:00,7.84,7.9,7.81,7.86,421560
2017-05-08 07:00:00,7.84,7.92,7.79,7.86,703620
2017-05-09 07:00:00,7.81,7.97,7.79,7.95,844220
2017-05-10 07:00:00,7.95,8.19,7.92,8.1,1931930
2017-05-11 07:00:00,8.14,8.14,8.01,8.01,641050
2017-05-12 07:00:00,7.97,8.17,7.97,8.04,703260
2017-05-15 07:00:00,8.04,8.06,7.9,8.01,1110290
2017-05-16 07:00:00,7.95,8.06,7.84,7.88,815770
2017-05-17 07:00:00,7.86,7.99,7.79,7.86,654830
