time,open,high,low,close,volume
2016-11-10 07:00:00,7.19,7.21,7.18,7.21,111550
2016-11-11 07:00:00,7.21,7.21,7.15,7.19,133220
2016-11-14 07:00:00,7.16,7.19,7.11,7.14,404960
2016-11-15 07:00:00,7.25,7.37,7.25,7.28,752260
2016-11-16 07:00:00,7.36,7.38,7.32,7.36,1270490
2016-11-17 07:00:00,7.37,7.37,7.32,7.32,973840
2016-11-18 07:00:00,7.33,7.34,7.27,7.27,444940
2016-11-21 07:00:00,7.36,7.36,7.27,7.28,537850
2016-11-22 07:00:00,7.32,7.32,7.28,7.29,332610
2016-11-23 07:00:00,7.32,7.33,7.2,7.2,1028320
2016-11-24 07:00:00,7.2,7.27,7.2,7.27,424140
2016-11-25 07:00:00,7.24,7.27,7.21,7.21,367850
2016-11-28 07:00:00,7.27,7.27,7.2,7.21,679060
2016-11-29 07:00:00,7.24,7.27,7.05,7.06,722320
2016-11-30 07:00:00,7.07,7.1,7.05,7.07,462100
2016-12-01 07:00:00,7.07,7.14,6.8,6.8,1125920
2016-12-02 07:00:00,6.8,6.85,6.57,6.63,1761040
2016-12-05 07:00:00,6.63,6.77,6.63,6.63,700490
2016-12-06 07:00:00,6.63,6.67,6.56,6.6,638900
2016-12-07 07:00:00,6.63,6.63,6.53,6.53,470120
2016-12-08 07:00:00,6.54,6.54,6.36,6.38,583980
2016-12-09 07:00:00,6.38,6.43,6.24,6.29,1079550
2016-12-12 07:00:00,6.29,6.33,6.26,6.32,661960
2016-12-13 07:00:00,6.32,6.32,6.21,6.22,720960
2016-12-14 07:00:00,6.22,6.32,6.22,6.29,669380
2016-12-15 07:00:00,6.32,6.49,6.29,6.4,559230
2016-12-16 07:00:00,6.43,6.47,6.4,6.42,1250850
2016-12-19 07:00:00,6.49,6.56,6.46,6.47,475910
2016-12-20 07:00:00,6.49,6.54,6.38,6.43,485430
2016-12-21 07:00:00,6.4,6.45,6.38,6.4,387510
2016-12-22 07:00:00,6.39,6.46,6.39,6.42,494070
2016-12-23 07:00:00,6.43,6.43,6.36,6.36,579940
2016-12-26 07:00:00,6.43,6.43,6.36,6.38,474830
2016-12-27 07:00:00,6.39,6.39,6.35,6.35,432810
2016-12-28 07:00:00,6.35,6.4,6.31,6.31,584940
2016-12-29 07:00:00,6.31,6.32,6.29,6.32,413280
2016-12-30 07:00:00,6.33,6.33,6.24,6.25,797200
2017-01-03 07:00:00,6.25,6.28,6.21,6.22,447100
2017-01-04 07:00:00,6.22,6.29,6.22,6.29,257180
2017-01-05 07:00:00,6.29,6.29,6.22,6.25,405010
2017-01-06 07:00:00,6.25,6.25,6.15,6.17,934680
2017-01-09 07:00:00,6.18,6.32,6.17,6.29,1041690
2017-01-10 07:00:00,6.32,6.52,6.32,6.45,766510
2017-01-11 07:00:00,6.43,6.43,6.35,6.4,399900
2017-01-12 07:00:00,6.43,6.81,6.42,6.81,2135570
2017-01-13 07:00:00,6.82,7.1,6.81,6.96,1219860
2017-01-16 07:00:00,6.96,7.09,6.82,6.82,714520
2017-01-17 07:00:00,6.71,6.82,6.66,6.67,909570
2017-01-18 07:00:00,6.6,6.81,6.6,6.68,323510
2017-01-19 07:00:00,6.66,6.71,6.6,6.6,752010
2017-01-20 07:00:00,6.6,6.71,6.6,6.6,643780
2017-01-23 07:00:00,6.66,6.66,6.57,6.6,306980
2017-01-24 07:00:00,6.6,6.7,6.6,6.68,434180
2017-01-25 07:00:00,6.68,6.8,6.68,6.75,338670
2017-02-02 07:00:00,6.81,6.84,6.74,6.74,411050
2017-02-03 07:00:00,6.77,6.88,6.74,6.74,1443880
2017-02-06 07:00:00,6.81,6.89,6.81,6.88,921100
2017-02-07 07:00:00,6.85,6.87,6.78,6.8,1144780
2017-02-08 07:00:00,6.85,7.05,6.84,6.99,1305360
2017-02-09 07:00:00,7.05,7.27,7.05,7.2,1489460
2017-02-10 07:00:00,7.2,7.27,7.14,7.17,817740
2017-02-13 07:00:00,7.17,7.24,7.16,7.19,1289320
2017-02-14 07:00:00,7.21,7.21,7.1,7.14,1092110
2017-02-15 07:00:00,7.13,7.14,7.09,7.09,458660
2017-02-16 07:00:00,7.09,7.17,6.98,6.98,829380
2017-02-17 07:00:00,6.95,6.95,6.7,6.82,1854990
2017-02-20 07:00:00,6.82,6.88,6.74,6.84,928140
2017-02-21 07:00:00,6.85,6.87,6.8,6.8,867700
2017-02-22 07:00:00,6.75,6.8,6.73,6.74,1215940
2017-02-23 07:00:00,6.74,6.91,6.74,6.87,851550
2017-02-24 07:00:00,6.85,6.85,6.8,6.81,418810
2017-02-27 07:00:00,6.8,6.92,6.77,6.89,742880
2017-02-28 07:00:00,6.88,6.91,6.82,6.82,341870
2017-03-01 07:00:00,6.92,7.17,6.87,6.99,2050450
2017-03-02 07:00:00,6.96,6.98,6.88,6.89,754240
2017-03-03 07:00:00,6.85,7.02,6.84,7.02,1592710
2017-03-06 07:00:00,7.02,7.12,6.96,7.02,1570940
2017-03-07 07:00:00,6.99,7.05,6.94,6.94,1046890
2017-03-08 07:00:00,6.94,6.98,6.88,6.94,1093970
2017-03-09 07:00:00,6.95,6.95,6.91,6.95,1024350
2017-03-10 07:00:00,6.94,6.94,6.82,6.82,1020330
2017-03-13 07:00:00,6.8,6.81,6.75,6.8,752930
2017-03-14 07:00:00,6.8,6.87,6.8,6.82,540900
2017-03-15 07:00:00,6.85,6.85,6.77,6.77,494990
2017-03-16 07:00:00,6.77,6.82,6.74,6.82,1087600
2017-03-17 07:00:00,6.82,6.85,6.75,6.75,3121320
2017-03-20 07:00:00,6.78,6.84,6.75,6.81,957740
2017-03-21 07:00:00,6.81,6.85,6.81,6.82,669200
2017-03-22 07:00:00,6.82,6.82,6.75,6.75,864670
2017-03-23 07:00:00,6.75,6.85,6.75,6.75,891570
2017-03-24 07:00:00,6.77,6.8,6.73,6.74,775910
2017-03-27 07:00:00,6.74,6.78,6.71,6.78,710680
2017-03-28 07:00:00,6.8,6.8,6.75,6.77,516760
2017-03-29 07:00:00,6.78,6.8,6.73,6.75,604130
2017-03-30 07:00:00,6.73,6.75,6.66,6.66,878580
2017-03-31 07:00:00,6.66,6.78,6.63,6.78,780560
2017-04-03 07:00:00,6.71,6.75,6.68,6.7,820510
2017-04-04 07:00:00,6.71,6.73,6.68,6.7,768180
2017-04-05 07:00:00,6.68,6.7,6.57,6.57,1181640
2017-04-07 07:00:00,6.57,6.66,6.56,6.64,330000
2017-04-10 07:00:00,6.64,6.66,6.6,6.6,267100
2017-04-11 07:00:00,6.59,6.6,6.56,6.56,457040
2017-04-12 07:00:00,6.57,6.57,6.49,6.49,752000
2017-04-13 07:00:00,6.46,6.46,6.39,6.39,938770
2017-04-14 07:00:00,6.39,6.39,6.32,6.33,607340
2017-04-17 07:00:00,6.33,6.4,6.33,6.38,318820
2017-04-18 07:00:00,6.38,6.46,6.26,6.46,1102060
2017-04-19 07:00:00,6.46,6.91,6.46,6.91,2747340
2017-04-20 07:00:00,6.96,6.99,6.71,6.71,1322730
2017-04-21 07:00:00,6.66,6.7,6.56,6.57,632280
2017-04-24 07:00:00,6.49,6.52,6.38,6.38,1101510
2017-04-25 07:00:00,6.33,6.56,6.33,6.43,549050
2017-04-26 07:00:00,6.49,6.71,6.45,6.66,1013700
2017-04-27 07:00:00,6.59,6.78,6.59,6.6,1518660
2017-04-28 07:00:00,6.56,6.61,6.52,6.57,662880
2017-05-03 07:00:00,6.57,6.66,6.54,6.59,824400
2017-05-04 07:00:00,6.6,6.6,6.46,6.52,1236770
2017-05-05 07:00:00,6.47,6.54,6.46,6.5,398050
2017-05-08 07:00:00,6.5,6.67,6.5,6.63,685290
2017-05-09 07:00:00,6.6,6.66,6.59,6.59,505960
2017-05-10 07:00:00,6.57,6.7,6.57,6.64,943350
2017-05-11 07:00:00,6.66,6.77,6.66,6.74,1419380
2017-05-12 07:00:00,6.75,6.75,6.67,6.71,709090
2017-05-15 07:00:00,6.74,6.74,6.61,6.66,822400
2017-05-16 07:00:00,6.68,6.75,6.63,6.66,724140
2017-05-17 07:00:00,6.78,6.8,6.66,6.67,533500
2017-05-18 07:00:00,6.68,6.71,6.63,6.63,699210
2017-05-19 07:00:00,6.85,6.86,6.67,6.72,1267540
2017-05-22 07:00:00,6.72,6.72,6.63,6.63,1284440
2017-05-23 07:00:00,6.61,6.66,6.6,6.6,431180
2017-05-24 07:00:00,6.6,6.6,6.5,6.57,1281360
2017-05-25 07:00:00,6.57,6.57,6.53,6.54,671400
2017-05-26 07:00:00,6.54,6.6,6.53,6.55,509260
2017-05-29 07:00:00,6.57,6.64,6.55,6.58,705140
2017-05-30 07:00:00,6.6,6.6,6.55,6.55,723000
2017-05-31 07:00:00,6.55,6.73,6.54,6.72,1844650
2017-06-01 07:00:00,6.72,6.83,6.66,6.67,776860
2017-06-02 07:00:00,6.66,6.67,6.58,6.58,622720
2017-06-05 07:00:00,6.64,6.64,6.58,6.58,612820
2017-06-06 07:00:00,6.58,6.6,6.57,6.57,717610
2017-06-07 07:00:00,6.63,6.64,6.57,6.57,753600
2017-06-08 07:00:00,6.58,6.7,6.57,6.63,999640
2017-06-09 07:00:00,6.64,6.64,6.58,6.6,562000
2017-06-12 07:00:00,6.57,6.61,6.57,6.6,1132440
2017-06-13 07:00:00,6.6,6.76,6.6,6.74,3010770
2017-06-14 07:00:00,6.74,6.8,6.69,6.74,843080
2017-06-15 07:00:00,6.74,6.74,6.64,6.7,973650
2017-06-16 07:00:00,6.67,6.67,6.6,6.6,1790280
2017-06-19 07:00:00,6.64,6.66,6.6,6.63,940390
2017-06-20 07:00:00,6.64,6.66,6.61,6.63,626120
2017-06-21 07:00:00,6.64,6.64,6.55,6.57,1101290
2017-06-22 07:00:00,6.58,6.63,6.58,6.63,716720
2017-06-23 07:00:00,6.67,6.74,6.67,6.7,1105100
2017-06-26 07:00:00,6.7,6.7,6.66,6.67,573150
2017-06-27 07:00:00,6.67,6.82,6.67,6.73,2769080
2017-06-28 07:00:00,6.73,6.74,6.69,6.7,773470
2017-06-29 07:00:00,6.69,6.76,6.69,6.74,1072690
2017-06-30 07:00:00,6.74,6.98,6.74,6.86,3931200
2017-07-03 07:00:00,6.92,6.95,6.86,6.93,1154780
