time,open,high,low,close,volume
2021-07-15 07:00:00,24.91,24.91,16.19,18.06,5223200
2021-07-16 07:00:00,18.06,18.93,17.37,18.68,2685467
2021-07-19 07:00:00,18.56,18.81,17.44,17.44,1078833
2021-07-20 07:00:00,17.44,18.0,16.63,17.44,1366200
2021-07-21 07:00:00,17.44,18.31,17.44,18.24,1013750
2021-07-22 07:00:00,18.24,19.05,17.81,18.74,1110440
2021-07-23 07:00:00,18.68,18.87,17.75,17.75,680700
2021-07-26 07:00:00,17.56,17.81,17.12,17.12,478600
2021-07-27 07:00:00,17.12,18.06,16.75,16.75,619600
2021-07-28 07:00:00,16.81,17.12,15.13,16.19,926156
2021-07-29 07:00:00,16.19,16.75,15.94,16.07,819100
2021-07-30 07:00:00,16.07,16.75,16.07,16.63,846300
2021-08-02 07:00:00,16.75,16.75,16.0,16.13,1013900
2021-08-03 07:00:00,16.07,16.19,15.26,15.94,1242600
2021-08-04 07:00:00,16.0,16.56,15.88,16.56,968900
2021-08-05 07:00:00,16.56,17.0,16.19,16.94,669700
2021-08-06 07:00:00,16.94,17.68,16.56,17.37,1231316
2021-08-09 07:00:00,17.44,18.31,17.12,18.18,1111500
2021-08-10 07:00:00,18.43,18.43,17.68,18.18,515209
2021-08-11 07:00:00,18.18,18.18,17.68,17.68,746800
2021-08-12 07:00:00,17.68,17.93,17.44,17.68,321940
2021-08-13 07:00:00,17.68,17.75,17.37,17.56,489600
2021-08-16 07:00:00,17.81,18.43,17.62,18.12,631410
2021-08-17 07:00:00,18.18,18.31,17.68,17.68,472800
2021-08-18 07:00:00,17.68,18.18,17.44,17.44,245054
2021-08-19 07:00:00,17.44,17.56,17.25,17.44,416424
2021-08-20 07:00:00,17.56,17.68,16.56,16.81,955362
2021-08-23 07:00:00,16.63,16.88,15.63,16.0,665806
2021-08-24 07:00:00,16.07,17.12,16.07,16.69,421760
2021-08-25 07:00:00,16.81,17.0,16.56,16.94,356631
2021-08-26 07:00:00,17.31,17.87,17.12,17.75,1064500
2021-08-27 07:00:00,17.75,17.81,17.12,17.75,769617
2021-09-06 07:00:00,17.75,18.06,17.16,17.75,499400
2021-09-07 07:00:00,17.81,17.81,17.31,17.44,231300
2021-09-08 07:00:00,17.44,17.72,17.31,17.65,336000
2021-09-09 07:00:00,17.62,17.65,17.44,17.47,160000
2021-09-10 07:00:00,17.44,17.62,17.44,17.5,293000
2021-09-13 07:00:00,17.5,18.0,17.4,17.96,527700
2021-09-14 07:00:00,17.93,17.93,17.68,17.78,218100
2021-09-15 07:00:00,17.68,17.81,17.56,17.78,224600
2021-09-16 07:00:00,17.78,17.78,17.44,17.56,298200
2021-09-17 07:00:00,17.56,18.06,17.44,18.06,925800
2021-09-20 07:00:00,18.06,18.24,17.81,17.87,269700
2021-09-21 07:00:00,17.47,17.81,17.44,17.75,236200
2021-09-22 07:00:00,17.56,17.75,17.53,17.56,263100
2021-09-23 07:00:00,17.56,18.06,17.56,17.93,1073000
2021-09-24 07:00:00,17.81,18.03,17.81,18.0,148400
2021-09-27 07:00:00,18.0,18.49,17.75,18.06,818700
2021-09-28 07:00:00,18.0,18.0,17.68,17.9,263200
2021-09-29 07:00:00,17.75,17.84,17.72,17.72,154300
2021-09-30 07:00:00,17.75,17.93,17.65,17.81,289700
2021-10-01 07:00:00,17.81,17.93,17.62,17.62,262600
2021-10-04 07:00:00,17.75,17.75,17.47,17.68,151200
2021-10-05 07:00:00,17.68,17.84,17.53,17.84,245900
2021-10-06 07:00:00,17.87,18.09,17.75,17.93,232600
2021-10-07 07:00:00,18.0,18.06,17.75,18.0,324900
2021-10-08 07:00:00,18.0,18.06,17.75,18.0,354300
2021-10-11 07:00:00,18.21,19.24,18.12,19.24,1808100
2021-10-12 07:00:00,19.68,20.42,19.3,20.24,1325500
2021-10-13 07:00:00,19.99,20.8,19.86,20.21,343100
2021-10-14 07:00:00,19.8,20.08,19.65,19.65,1105400
2021-10-15 07:00:00,19.8,19.93,18.87,19.43,1207100
2021-10-18 07:00:00,19.43,19.99,19.24,19.3,545800
2021-10-19 07:00:00,19.3,19.61,18.99,19.61,579700
2021-10-20 07:00:00,19.61,19.61,18.4,19.18,450700
2021-10-21 07:00:00,19.37,19.37,18.68,18.87,328400
2021-10-22 07:00:00,18.71,19.15,18.71,18.87,628400
2021-10-25 07:00:00,18.87,19.12,18.43,18.43,536600
2021-10-26 07:00:00,18.24,18.24,17.65,18.06,799200
2021-10-27 07:00:00,18.09,19.12,18.09,19.05,427200
2021-10-28 07:00:00,19.3,19.3,18.68,19.05,616000
2021-10-29 07:00:00,18.96,18.96,18.56,18.93,872200
2021-11-01 07:00:00,18.99,19.18,18.74,19.05,1538400
2021-11-02 07:00:00,19.05,19.61,18.77,19.55,2067400
2021-11-03 07:00:00,19.77,19.77,18.87,19.18,1287700
2021-11-04 07:00:00,19.15,19.3,18.84,19.24,1179100
2021-11-05 07:00:00,19.3,19.3,18.81,18.9,697700
2021-11-08 07:00:00,18.9,19.3,18.9,19.27,843200
2021-11-09 07:00:00,19.24,19.24,18.99,19.05,1069200
2021-11-10 07:00:00,19.09,19.55,19.09,19.37,1227800
2021-11-11 07:00:00,19.37,19.49,18.87,18.99,1173500
2021-11-12 07:00:00,19.05,19.18,18.71,18.99,470100
2021-11-15 07:00:00,18.99,19.71,18.93,19.33,1291100
2021-11-16 07:00:00,19.61,19.61,19.12,19.12,593700
2021-11-17 07:00:00,19.05,19.43,19.05,19.37,734300
2021-11-18 07:00:00,19.37,20.24,19.37,20.02,1477400
2021-11-19 07:00:00,20.36,20.86,20.02,20.39,2633500
2021-11-22 07:00:00,20.39,20.55,19.8,19.86,698200
2021-11-23 07:00:00,19.74,20.05,19.61,19.8,667300
2021-11-24 07:00:00,19.8,20.64,19.61,19.93,1248300
2021-11-25 07:00:00,20.49,20.8,19.99,20.33,1585900
2021-11-26 07:00:00,20.33,20.42,19.43,19.43,1236300
2021-11-29 07:00:00,18.93,19.58,18.87,19.09,1456600
2021-11-30 07:00:00,19.12,20.39,19.12,20.39,901100
2021-12-01 07:00:00,21.79,21.79,20.58,21.17,2782400
2021-12-02 07:00:00,20.67,21.17,20.67,21.11,689300
2021-12-03 07:00:00,21.08,21.17,20.49,20.49,1112700
2021-12-06 07:00:00,20.11,20.98,19.15,19.93,1276900
2021-12-07 07:00:00,20.05,20.42,19.8,20.24,473100
2021-12-08 07:00:00,20.3,21.08,19.99,21.08,626300
2021-12-09 07:00:00,21.08,22.54,20.86,22.54,2136300
2021-12-10 07:00:00,22.54,23.26,22.54,23.01,1389500
2021-12-13 07:00:00,23.04,23.97,22.95,23.97,919300
2021-12-14 07:00:00,23.16,23.97,23.04,23.16,991600
2021-12-15 07:00:00,22.73,23.2,22.73,22.79,673200
2021-12-16 07:00:00,22.79,23.91,22.79,23.79,795900
2021-12-17 07:00:00,24.25,24.25,23.6,23.63,532700
2021-12-20 07:00:00,23.82,23.82,22.79,22.88,547900
2021-12-21 07:00:00,22.88,23.35,22.26,22.73,521000
2021-12-22 07:00:00,23.1,23.16,22.7,23.04,308700
2021-12-23 07:00:00,23.66,23.66,21.92,22.35,560800
2021-12-24 07:00:00,21.92,22.76,21.92,22.73,264300
2021-12-27 07:00:00,23.01,23.04,22.42,22.48,122100
2021-12-28 07:00:00,22.63,23.1,22.54,23.01,430200
2021-12-29 07:00:00,23.04,23.32,22.98,23.04,447800
2021-12-30 07:00:00,23.04,23.04,22.17,22.2,273900
2021-12-31 07:00:00,22.11,23.23,21.14,23.23,900700
2022-01-04 07:00:00,23.04,23.6,22.11,23.04,368900
2022-01-05 07:00:00,23.04,23.16,22.48,22.73,333900
2022-01-06 07:00:00,22.73,23.54,22.42,23.04,1053000
2022-01-07 07:00:00,23.04,23.04,22.6,22.6,337600
2022-01-10 07:00:00,22.6,23.04,22.23,22.48,477900
2022-01-11 07:00:00,22.32,23.04,21.79,22.79,604100
2022-01-12 07:00:00,21.58,22.73,21.48,21.58,741600
2022-01-13 07:00:00,21.79,22.07,21.17,21.17,663900
2022-01-14 07:00:00,20.49,21.92,20.49,21.92,209300
2022-01-17 07:00:00,22.39,22.39,20.55,21.51,352500
2022-01-18 07:00:00,21.42,21.42,20.24,21.17,246200
2022-01-19 07:00:00,20.33,21.79,20.33,21.17,252200
