time,open,high,low,close,volume
2016-11-10 07:00:00,2.21,2.33,2.09,2.19,54600
2016-11-11 07:00:00,2.2,2.2,2.15,2.19,36200
2016-11-14 07:00:00,2.17,2.2,2.16,2.18,31110
2016-11-15 07:00:00,2.17,2.29,2.17,2.21,152120
2016-11-16 07:00:00,2.29,2.29,2.21,2.27,66530
2016-11-17 07:00:00,2.31,2.33,2.21,2.27,56490
2016-11-18 07:00:00,2.31,2.31,2.21,2.27,19800
2016-11-21 07:00:00,2.27,2.31,2.21,2.26,116170
2016-11-22 07:00:00,2.21,2.27,2.21,2.25,61070
2016-11-23 07:00:00,2.25,2.25,2.19,2.21,146790
2016-11-24 07:00:00,2.22,2.22,2.18,2.18,59520
2016-11-25 07:00:00,2.19,2.21,2.17,2.2,100260
2016-11-28 07:00:00,2.2,2.21,2.18,2.21,160570
2016-11-29 07:00:00,2.2,2.21,2.17,2.2,30960
2016-11-30 07:00:00,2.22,2.32,2.2,2.32,100950
2016-12-01 07:00:00,2.29,2.32,2.25,2.27,53290
2016-12-02 07:00:00,2.32,2.32,2.24,2.27,34560
2016-12-05 07:00:00,2.32,2.32,2.24,2.28,6740
2016-12-06 07:00:00,2.28,2.28,2.23,2.26,99480
2016-12-07 07:00:00,2.24,2.26,2.22,2.26,58330
2016-12-08 07:00:00,2.28,2.28,2.22,2.24,30460
2016-12-09 07:00:00,2.24,2.26,2.22,2.24,40990
2016-12-12 07:00:00,2.24,2.24,2.21,2.23,24710
2016-12-13 07:00:00,2.19,2.22,2.15,2.21,104240
2016-12-14 07:00:00,2.18,2.21,2.14,2.21,162620
2016-12-15 07:00:00,2.21,2.21,2.19,2.21,3350
2016-12-16 07:00:00,2.21,2.21,2.18,2.21,21810
2016-12-19 07:00:00,2.22,2.22,2.18,2.22,23390
2016-12-20 07:00:00,2.24,2.24,2.24,2.24,4800
2016-12-21 07:00:00,2.24,2.24,2.23,2.24,9980
2016-12-22 07:00:00,2.22,2.23,2.17,2.23,24550
2016-12-23 07:00:00,2.16,2.23,2.13,2.23,57790
2016-12-26 07:00:00,2.23,2.23,2.14,2.23,32910
2016-12-27 07:00:00,2.23,2.23,2.16,2.23,28170
2016-12-28 07:00:00,2.23,2.23,2.23,2.23,23200
2016-12-29 07:00:00,2.16,2.23,2.14,2.23,63710
2016-12-30 07:00:00,2.2,2.2,2.16,2.2,22010
2017-01-03 07:00:00,2.21,2.22,2.1,2.1,65290
2017-01-04 07:00:00,2.08,2.15,2.08,2.15,97650
2017-01-05 07:00:00,2.15,2.16,2.12,2.12,77300
2017-01-06 07:00:00,2.12,2.17,2.12,2.17,100250
2017-01-09 07:00:00,2.17,2.2,2.15,2.2,71850
2017-01-10 07:00:00,2.16,2.2,2.16,2.18,102090
2017-01-11 07:00:00,2.16,2.2,2.16,2.2,59060
2017-01-12 07:00:00,2.22,2.22,2.18,2.22,25990
2017-01-13 07:00:00,2.21,2.22,2.21,2.22,30510
2017-01-16 07:00:00,2.18,2.23,2.18,2.22,51090
2017-01-17 07:00:00,2.2,2.22,2.18,2.22,49490
2017-01-18 07:00:00,2.19,2.22,2.16,2.21,41980
2017-01-19 07:00:00,2.11,2.22,2.11,2.21,51110
2017-01-20 07:00:00,2.18,2.22,2.18,2.22,46440
2017-01-23 07:00:00,2.22,2.22,2.18,2.2,66180
2017-01-24 07:00:00,2.2,2.2,2.16,2.2,25230
2017-01-25 07:00:00,2.14,2.23,2.14,2.22,35010
2017-02-02 07:00:00,2.22,2.22,2.13,2.22,14690
2017-02-03 07:00:00,2.16,2.22,2.14,2.2,66100
2017-02-06 07:00:00,2.2,2.2,2.17,2.18,39060
2017-02-07 07:00:00,2.16,2.2,2.16,2.2,12090
2017-02-08 07:00:00,2.16,2.2,2.16,2.2,8860
2017-02-09 07:00:00,2.16,2.2,2.16,2.2,7280
2017-02-10 07:00:00,2.17,2.2,2.17,2.2,3200
2017-02-13 07:00:00,2.2,2.2,2.16,2.17,32440
2017-02-14 07:00:00,2.17,2.17,2.17,2.17,2000
2017-02-15 07:00:00,2.17,2.19,2.16,2.18,33920
2017-02-16 07:00:00,2.18,2.22,2.16,2.18,24350
2017-02-17 07:00:00,2.18,2.18,2.14,2.14,18070
2017-02-20 07:00:00,2.1,2.19,2.1,2.17,20570
2017-02-21 07:00:00,2.18,2.18,2.16,2.17,76430
2017-02-22 07:00:00,2.17,2.24,2.17,2.2,67370
2017-02-23 07:00:00,2.23,2.23,2.19,2.19,21200
2017-02-24 07:00:00,2.16,2.21,2.16,2.2,61630
2017-02-27 07:00:00,2.18,2.22,2.16,2.22,18660
2017-02-28 07:00:00,2.22,2.23,2.18,2.22,14170
2017-03-01 07:00:00,2.22,2.22,2.17,2.18,27910
2017-03-02 07:00:00,2.18,2.21,2.14,2.18,60970
2017-03-03 07:00:00,2.2,2.2,2.08,2.16,24060
2017-03-06 07:00:00,2.17,2.17,2.15,2.15,43360
2017-03-07 07:00:00,2.19,2.19,2.15,2.18,22340
2017-03-08 07:00:00,2.18,2.24,2.17,2.22,37680
2017-03-09 07:00:00,2.29,2.32,2.23,2.3,201060
2017-03-10 07:00:00,2.36,2.36,2.28,2.32,46260
2017-03-13 07:00:00,2.24,2.3,2.24,2.29,37600
2017-03-14 07:00:00,2.3,2.3,2.2,2.24,64940
2017-03-15 07:00:00,2.19,2.24,2.19,2.21,39410
2017-03-16 07:00:00,2.18,2.21,2.18,2.2,59780
2017-03-17 07:00:00,2.2,2.24,2.19,2.23,33270
2017-03-20 07:00:00,2.23,2.24,2.2,2.23,8700
2017-03-21 07:00:00,2.2,2.28,2.2,2.23,115470
2017-03-22 07:00:00,2.23,2.24,2.2,2.2,117530
2017-03-23 07:00:00,2.22,2.22,2.18,2.2,93150
2017-03-24 07:00:00,2.2,2.22,2.19,2.19,286980
2017-03-27 07:00:00,2.2,2.26,2.2,2.24,198200
2017-03-28 07:00:00,2.28,2.28,2.21,2.24,43210
2017-03-29 07:00:00,2.24,2.26,2.23,2.24,70900
2017-03-30 07:00:00,2.22,2.24,2.22,2.23,44670
2017-03-31 07:00:00,2.24,2.24,2.21,2.23,19530
2017-04-03 07:00:00,2.23,2.23,2.21,2.21,64940
2017-04-04 07:00:00,2.21,2.23,2.2,2.23,89200
2017-04-05 07:00:00,2.22,2.28,2.22,2.26,75740
2017-04-07 07:00:00,2.28,2.28,2.23,2.23,70220
2017-04-10 07:00:00,2.24,2.24,2.21,2.22,28110
2017-04-11 07:00:00,2.21,2.21,2.2,2.2,92150
2017-04-12 07:00:00,2.24,2.24,2.19,2.19,126080
2017-04-13 07:00:00,2.2,2.2,2.18,2.18,55350
2017-04-14 07:00:00,2.2,2.2,2.16,2.2,203240
2017-04-17 07:00:00,2.2,2.2,2.16,2.16,23610
2017-04-18 07:00:00,2.16,2.18,2.16,2.16,49800
2017-04-19 07:00:00,2.22,2.22,2.16,2.2,20320
2017-04-20 07:00:00,2.18,2.2,2.14,2.16,185780
2017-04-21 07:00:00,2.1,2.16,2.1,2.15,119230
2017-04-24 07:00:00,2.14,2.16,2.1,2.14,148100
2017-04-25 07:00:00,2.16,2.16,2.12,2.16,49900
2017-04-26 07:00:00,2.18,2.22,2.16,2.18,135580
2017-04-27 07:00:00,2.18,2.22,2.1,2.18,146300
2017-04-28 07:00:00,2.14,2.19,2.11,2.19,79490
2017-05-03 07:00:00,2.18,2.2,2.17,2.19,68840
2017-05-04 07:00:00,2.18,2.34,2.18,2.32,322150
2017-05-05 07:00:00,2.34,2.34,2.27,2.32,158170
2017-05-08 07:00:00,2.34,2.47,2.32,2.47,332580
2017-05-09 07:00:00,2.54,2.56,2.34,2.4,172970
2017-05-10 07:00:00,2.42,2.42,2.36,2.39,135830
2017-05-11 07:00:00,2.37,2.44,2.32,2.41,107330
2017-05-12 07:00:00,2.4,2.58,2.34,2.56,545920
2017-05-15 07:00:00,2.63,2.74,2.63,2.74,553990
2017-05-16 07:00:00,2.74,2.81,2.67,2.67,178410
2017-05-17 07:00:00,2.67,2.67,2.54,2.6,178280
2017-05-18 07:00:00,2.54,2.58,2.47,2.47,291860
2017-05-19 07:00:00,2.47,2.63,2.47,2.62,147400
