time,open,high,low,close,volume
2016-11-10 07:00:00,13.01,13.01,12.58,12.79,18350
2016-11-11 07:00:00,12.79,12.79,12.58,12.58,9780
2016-11-14 07:00:00,12.58,12.64,12.47,12.58,11140
2016-11-15 07:00:00,12.47,12.58,12.37,12.58,8130
2016-11-16 07:00:00,12.56,12.56,12.37,12.37,15840
2016-11-17 07:00:00,12.37,12.37,12.22,12.37,9430
2016-11-18 07:00:00,12.37,12.37,12.07,12.16,19930
2016-11-21 07:00:00,12.16,12.16,11.73,11.73,25690
2016-11-22 07:00:00,11.73,11.94,11.73,11.92,24350
2016-11-23 07:00:00,11.92,11.94,11.73,11.94,20800
2016-11-24 07:00:00,11.88,12.77,11.88,12.5,62710
2016-11-25 07:00:00,12.56,12.56,12.16,12.16,14850
2016-11-28 07:00:00,12.41,12.41,12.16,12.18,12130
2016-11-29 07:00:00,12.37,12.37,12.16,12.32,15280
2016-11-30 07:00:00,12.16,12.35,12.16,12.16,15610
2016-12-01 07:00:00,12.16,12.3,12.16,12.16,15860
2016-12-02 07:00:00,12.2,12.32,12.16,12.16,20530
2016-12-05 07:00:00,12.26,12.26,12.16,12.16,16160
2016-12-06 07:00:00,12.32,12.32,12.16,12.2,16180
2016-12-07 07:00:00,12.35,12.35,12.16,12.16,10730
2016-12-08 07:00:00,12.26,12.26,12.16,12.16,38430
2016-12-09 07:00:00,12.2,12.26,12.13,12.26,43430
2016-12-12 07:00:00,12.26,12.26,12.05,12.16,5700
2016-12-13 07:00:00,12.16,12.16,12.0,12.11,5930
2016-12-14 07:00:00,12.16,12.24,12.05,12.16,50690
2016-12-15 07:00:00,12.16,12.16,12.0,12.03,18780
2016-12-16 07:00:00,12.52,12.52,12.16,12.18,6120
2016-12-19 07:00:00,12.18,12.52,12.18,12.38,24220
2016-12-20 07:00:00,12.56,12.63,12.52,12.56,35210
2016-12-21 07:00:00,12.38,12.59,12.38,12.52,10180
2016-12-22 07:00:00,12.56,12.59,12.52,12.59,1770
2016-12-23 07:00:00,12.59,12.59,12.3,12.41,2520
2016-12-26 07:00:00,12.63,12.63,12.3,12.59,19250
2016-12-27 07:00:00,12.54,12.59,12.43,12.52,24360
2016-12-28 07:00:00,12.52,12.52,12.52,12.52,26470
2016-12-29 07:00:00,12.52,12.54,12.41,12.52,9320
2016-12-30 07:00:00,12.63,12.63,12.3,12.5,17910
2017-01-03 07:00:00,12.34,12.34,12.16,12.3,11740
2017-01-04 07:00:00,12.3,12.3,11.51,12.07,34290
2017-01-05 07:00:00,11.94,11.94,11.74,11.85,16240
2017-01-06 07:00:00,11.76,11.76,11.18,11.4,33260
2017-01-09 07:00:00,11.62,11.74,11.4,11.6,33270
