time,open,high,low,close,volume
2016-11-10 07:00:00,18.17,18.4,17.89,18.0,233850
2016-11-11 07:00:00,18.0,18.29,17.83,18.08,105990
2016-11-14 07:00:00,17.94,18.39,17.94,17.94,198830
2016-11-15 07:00:00,18.0,18.06,17.67,17.74,162860
2016-11-16 07:00:00,17.73,17.75,17.47,17.49,160290
2016-11-17 07:00:00,17.49,18.02,17.49,17.77,150580
2016-11-18 07:00:00,17.61,18.0,17.61,17.83,69310
2016-11-21 07:00:00,17.87,18.05,17.83,17.89,47690
2016-11-22 07:00:00,17.84,18.79,17.84,18.79,273000
2016-11-23 07:00:00,18.74,18.86,18.29,18.51,241160
2016-11-24 07:00:00,18.51,18.74,18.51,18.53,68530
2016-11-25 07:00:00,18.54,18.74,18.29,18.63,107770
2016-11-28 07:00:00,18.57,18.91,18.57,18.57,286650
2016-11-29 07:00:00,18.74,18.74,18.57,18.63,112320
2016-11-30 07:00:00,18.63,18.86,18.51,18.86,196420
2016-12-01 07:00:00,18.86,19.14,18.86,18.91,249290
2016-12-02 07:00:00,19.05,19.05,18.86,18.86,167130
2016-12-05 07:00:00,18.74,18.74,17.94,17.94,249980
2016-12-06 07:00:00,17.94,18.27,17.54,17.6,298940
2016-12-07 07:00:00,17.54,17.7,17.15,17.62,180290
2016-12-08 07:00:00,17.93,17.93,17.54,17.71,97210
2016-12-09 07:00:00,17.71,17.83,17.6,17.71,81800
2016-12-12 07:00:00,17.77,17.77,17.44,17.44,84390
2016-12-13 07:00:00,17.39,17.54,17.27,17.44,84180
2016-12-14 07:00:00,17.37,17.71,17.37,17.71,71500
2016-12-15 07:00:00,17.81,17.81,17.58,17.58,110950
2016-12-16 07:00:00,17.49,17.63,17.43,17.53,52320
2016-12-19 07:00:00,17.83,18.11,16.91,17.26,1394910
2016-12-20 07:00:00,17.14,17.67,17.04,17.67,292650
2016-12-21 07:00:00,17.67,17.82,17.6,17.79,156770
2016-12-22 07:00:00,17.71,17.79,17.55,17.71,249980
2016-12-23 07:00:00,17.73,17.81,17.66,17.69,198200
2016-12-26 07:00:00,17.71,18.16,17.71,18.16,280350
2016-12-27 07:00:00,18.16,18.4,18.07,18.23,252970
2016-12-28 07:00:00,18.23,18.23,18.07,18.19,141150
2016-12-29 07:00:00,18.17,18.29,18.0,18.17,319690
2016-12-30 07:00:00,17.93,18.06,17.77,17.83,739330
2017-01-03 07:00:00,17.83,17.94,17.71,17.91,127640
2017-01-04 07:00:00,17.91,18.03,17.84,17.98,75090
2017-01-05 07:00:00,17.98,18.03,17.94,18.03,116930
2017-01-06 07:00:00,18.02,18.16,17.94,18.03,210050
2017-01-09 07:00:00,18.06,18.06,17.89,17.91,126740
2017-01-10 07:00:00,17.85,18.1,17.73,17.97,180070
2017-01-11 07:00:00,18.0,18.29,18.0,18.29,348450
2017-01-12 07:00:00,18.29,18.56,18.29,18.29,205680
