time,open,high,low,close,volume
2017-07-12 07:00:00,15.46,15.46,15.46,15.46,200
2017-07-13 07:00:00,17.78,17.78,13.15,17.78,2507320
2017-07-14 07:00:00,20.43,20.43,20.43,20.43,4470
2017-07-17 07:00:00,23.49,23.49,21.24,23.49,134340
2017-07-18 07:00:00,23.36,23.45,19.86,22.62,60190
2017-07-19 07:00:00,22.62,22.62,19.35,21.03,37740
2017-07-20 07:00:00,21.24,21.24,19.35,19.54,27978
2017-07-21 07:00:00,19.75,19.75,18.9,18.9,38810
2017-07-24 07:00:00,18.9,19.12,18.84,18.84,16720
2017-07-25 07:00:00,18.27,18.52,16.57,16.99,59140
2017-07-26 07:00:00,17.2,19.12,17.2,18.9,32700
2017-07-27 07:00:00,18.31,19.12,18.31,18.48,18022
2017-07-28 07:00:00,18.61,18.61,18.27,18.27,15500
2017-07-31 07:00:00,19.12,19.12,18.33,18.33,52520
2017-08-01 07:00:00,18.48,18.82,15.89,18.69,35340
2017-08-02 07:00:00,18.08,18.8,18.08,18.78,18500
2017-08-03 07:00:00,18.69,19.12,18.61,19.1,24690
2017-08-04 07:00:00,19.12,19.22,19.1,19.18,38560
2017-08-07 07:00:00,19.16,19.29,19.16,19.22,14100
2017-08-08 07:00:00,19.24,21.24,19.24,19.44,115056
2017-08-09 07:00:00,19.75,20.18,19.75,20.09,27910
2017-08-10 07:00:00,20.18,20.28,19.97,20.07,30410
2017-08-11 07:00:00,20.18,20.18,19.46,19.48,15900
2017-08-14 07:00:00,19.46,19.46,19.14,19.14,5710
2017-08-15 07:00:00,19.12,19.12,18.9,18.93,14560
2017-08-16 07:00:00,19.33,19.33,19.18,19.18,17400
2017-08-17 07:00:00,19.24,19.27,16.38,19.18,38000
2017-08-18 07:00:00,19.12,19.2,19.08,19.16,8700
2017-08-21 07:00:00,19.12,19.14,18.99,18.99,20600
2017-08-22 07:00:00,19.05,19.18,19.05,19.14,3200
2017-08-23 07:00:00,19.1,19.44,19.1,19.12,16810
2017-08-24 07:00:00,19.16,19.22,19.14,19.18,17200
2017-08-25 07:00:00,19.44,19.44,19.22,19.22,4700
2017-08-28 07:00:00,19.54,19.54,19.31,19.33,22100
2017-08-29 07:00:00,19.33,19.33,19.16,19.22,24320
2017-08-30 07:00:00,19.24,19.24,19.12,19.12,13480
2017-08-31 07:00:00,19.14,19.14,19.1,19.12,13810
2017-09-01 07:00:00,19.01,19.01,18.93,18.93,4600
2017-09-05 07:00:00,19.12,19.12,19.08,19.1,3200
2017-09-06 07:00:00,19.05,19.05,18.97,18.97,1050
2017-09-07 07:00:00,19.01,19.01,18.97,19.01,3790
2017-09-08 07:00:00,18.95,18.95,18.9,18.9,9270
2017-09-11 07:00:00,19.12,19.12,18.9,18.9,21900
2017-09-12 07:00:00,19.08,19.12,19.08,19.1,11500
2017-09-13 07:00:00,19.31,19.33,19.12,19.18,14270
2017-09-14 07:00:00,19.22,19.22,18.9,19.12,16100
