time,open,high,low,close,volume
2019-01-15 07:00:00,8.71,8.71,6.39,6.39,109570
2019-01-16 07:00:00,6.39,6.82,6.39,6.82,27940
2019-01-17 07:00:00,7.29,7.29,7.29,7.29,119080
2019-01-18 07:00:00,7.61,7.67,7.29,7.29,50480
2019-01-21 07:00:00,7.29,7.29,6.91,6.91,13560
2019-01-22 07:00:00,6.74,6.74,6.5,6.5,44240
2019-01-23 07:00:00,6.39,6.5,6.39,6.39,32640
2019-01-24 07:00:00,6.39,6.68,6.33,6.33,25700
2019-01-25 07:00:00,6.27,6.39,6.21,6.33,49630
2019-01-28 07:00:00,6.39,6.39,6.1,6.1,14490
2019-01-29 07:00:00,6.1,6.1,5.98,5.98,17290
2019-01-30 07:00:00,6.1,6.39,6.1,6.39,13100
2019-01-31 07:00:00,5.98,6.74,5.98,6.74,13540
2019-02-01 07:00:00,6.85,7.09,6.85,6.97,26280
2019-02-11 07:00:00,6.91,7.06,6.5,6.91,19240
2019-02-12 07:00:00,7.09,7.09,6.74,6.97,6110
2019-02-13 07:00:00,6.65,6.97,6.59,6.59,12030
2019-02-14 07:00:00,6.62,6.91,6.62,6.91,44960
2019-02-15 07:00:00,6.97,6.97,6.82,6.94,710
2019-02-18 07:00:00,6.82,6.88,6.71,6.79,8130
2019-02-19 07:00:00,6.68,6.82,6.68,6.68,10110
2019-02-20 07:00:00,6.68,6.85,6.68,6.79,240
2019-02-21 07:00:00,6.62,6.85,6.62,6.79,11650
2019-02-22 07:00:00,6.5,6.77,6.5,6.59,4700
2019-02-25 07:00:00,6.82,6.82,6.56,6.65,6120
2019-02-26 07:00:00,6.59,6.74,6.56,6.62,26740
2019-02-27 07:00:00,6.62,6.62,6.59,6.59,9660
2019-02-28 07:00:00,6.56,6.56,6.45,6.45,28330
2019-03-01 07:00:00,6.62,6.62,6.5,6.59,6140
2019-03-04 07:00:00,6.56,6.59,6.5,6.59,34570
2019-03-05 07:00:00,6.59,6.68,6.45,6.68,56010
2019-03-06 07:00:00,6.56,6.85,6.56,6.74,33470
2019-03-07 07:00:00,6.59,7.2,6.59,7.2,267080
2019-03-08 07:00:00,7.4,7.61,7.4,7.49,111620
2019-03-11 07:00:00,7.49,8.01,7.49,8.01,278650
2019-03-12 07:00:00,8.19,8.57,8.13,8.57,641940
2019-03-13 07:00:00,8.71,8.71,8.25,8.6,142590
2019-03-14 07:00:00,8.48,8.71,8.33,8.65,137890
2019-03-15 07:00:00,8.65,8.77,8.42,8.54,267670
2019-03-18 07:00:00,8.57,8.6,8.25,8.42,182310
2019-03-19 07:00:00,8.3,8.51,8.3,8.48,134560
2019-03-20 07:00:00,8.54,8.94,8.36,8.94,220550
2019-03-21 07:00:00,9.06,9.55,8.94,9.55,561890
2019-03-22 07:00:00,9.52,10.22,9.52,10.16,594160
2019-03-25 07:00:00,10.16,10.16,9.47,9.47,305200
2019-03-26 07:00:00,9.0,9.23,8.83,8.89,268880
2019-03-27 07:00:00,8.74,9.5,8.74,9.5,154760
2019-03-28 07:00:00,9.52,9.52,9.12,9.18,146440
2019-03-29 07:00:00,8.94,9.52,8.94,9.41,75910
2019-04-01 07:00:00,9.41,9.73,9.18,9.7,123850
2019-04-02 07:00:00,10.1,10.1,9.47,9.55,93040
2019-04-03 07:00:00,9.35,9.67,9.35,9.35,46680
2019-04-04 07:00:00,9.52,9.76,9.35,9.52,151510
2019-04-05 07:00:00,9.52,9.64,9.41,9.44,81910
2019-04-08 07:00:00,9.44,9.76,9.29,9.41,86590
2019-04-09 07:00:00,9.35,9.41,9.15,9.15,80070
2019-04-10 07:00:00,9.35,9.41,8.91,9.29,55540
2019-04-11 07:00:00,9.06,9.29,9.0,9.03,31730
2019-04-12 07:00:00,8.91,9.23,8.77,9.06,99700
2019-04-16 07:00:00,9.12,9.18,8.71,8.86,20500
2019-04-17 07:00:00,8.74,8.94,8.71,8.71,131610
2019-04-18 07:00:00,8.71,8.71,8.48,8.48,109570
2019-04-19 07:00:00,8.65,8.71,8.42,8.65,42830
2019-04-22 07:00:00,8.42,8.71,8.42,8.48,71150
2019-04-23 07:00:00,8.45,8.65,8.45,8.48,70640
2019-04-24 07:00:00,8.48,8.71,8.48,8.51,74430
2019-04-25 07:00:00,8.51,9.09,8.51,8.71,174610
2019-04-26 07:00:00,8.94,9.06,8.71,8.8,7330
2019-05-02 07:00:00,8.8,9.23,8.71,9.03,109090
2019-05-03 07:00:00,9.18,9.18,8.77,8.94,75440
2019-05-06 07:00:00,8.94,8.94,8.6,8.83,56300
2019-05-07 07:00:00,8.71,8.94,8.68,8.94,84600
2019-05-08 07:00:00,8.86,8.94,8.77,8.94,17710
2019-05-09 07:00:00,8.94,8.94,8.71,8.71,34800
2019-05-10 07:00:00,8.51,8.77,8.51,8.74,121480
2019-05-13 07:00:00,8.74,9.29,8.6,9.26,187140
2019-05-14 07:00:00,9.26,9.79,8.97,9.73,521800
2019-05-15 07:00:00,9.58,9.84,9.47,9.7,193830
2019-05-16 07:00:00,9.7,10.16,9.64,9.7,410160
2019-05-17 07:00:00,9.58,9.79,9.5,9.55,220960
2019-05-20 07:00:00,9.47,10.22,9.47,10.22,883300
2019-05-21 07:00:00,10.22,10.69,10.22,10.34,373120
2019-05-22 07:00:00,10.4,10.63,10.34,10.4,375670
2019-05-23 07:00:00,10.22,10.42,10.19,10.22,395790
2019-05-24 07:00:00,10.19,10.86,10.16,10.63,623620
2019-05-27 07:00:00,10.63,11.15,10.63,11.15,308580
2019-05-28 07:00:00,11.27,11.61,11.15,11.47,504660
2019-05-29 07:00:00,11.38,11.38,11.12,11.24,272840
2019-05-30 07:00:00,11.09,11.21,10.86,10.92,365660
2019-05-31 07:00:00,10.86,11.27,10.57,10.57,369550
2019-06-03 07:00:00,10.57,10.98,10.45,10.57,175170
2019-06-04 07:00:00,10.83,10.92,10.63,10.92,160300
2019-06-05 07:00:00,11.09,11.5,10.95,10.95,293910
2019-06-06 07:00:00,10.95,11.32,10.95,11.15,243990
2019-06-07 07:00:00,11.18,11.91,11.18,11.91,1007580
2019-06-10 07:00:00,12.14,12.43,11.85,12.17,346910
2019-06-11 07:00:00,12.31,12.49,11.91,12.08,328710
2019-06-12 07:00:00,12.08,12.14,11.5,11.5,356370
2019-06-13 07:00:00,11.59,12.02,11.56,11.73,287650
2019-06-14 07:00:00,11.93,11.93,11.21,11.21,372210
2019-06-17 07:00:00,11.21,11.5,11.12,11.21,197970
2019-06-18 07:00:00,11.15,11.56,11.15,11.5,230990
2019-06-19 07:00:00,11.79,11.79,11.44,11.79,161740
2019-06-20 07:00:00,11.79,11.85,11.5,11.5,255020
2019-06-21 07:00:00,11.41,11.67,11.41,11.41,154830
2019-06-24 07:00:00,11.32,11.56,11.32,11.38,165280
2019-06-25 07:00:00,11.44,11.53,11.03,11.03,245610
2019-06-26 07:00:00,11.03,11.03,10.63,10.8,516810
2019-06-27 07:00:00,10.86,10.98,10.71,10.8,111790
2019-06-28 07:00:00,10.8,10.83,10.51,10.63,182890
2019-07-01 07:00:00,10.86,11.27,10.74,11.15,181060
2019-07-02 07:00:00,11.27,11.3,11.01,11.12,238240
2019-07-03 07:00:00,11.12,11.21,11.01,11.12,127700
2019-07-04 07:00:00,11.12,11.88,11.12,11.88,701070
2019-07-05 07:00:00,12.2,12.25,11.93,12.2,741210
2019-07-08 07:00:00,12.2,12.4,12.08,12.2,390280
2019-07-09 07:00:00,12.14,12.25,11.99,12.25,323330
2019-07-10 07:00:00,12.37,13.1,12.37,13.1,649580
