time,open,high,low,close,volume
2016-11-10 07:00:00,15.07,15.15,15.05,15.07,792150
2016-11-11 07:00:00,15.11,15.23,14.92,15.0,898610
2016-11-14 07:00:00,15.0,15.0,14.8,14.82,745100
2016-11-15 07:00:00,14.8,15.0,14.8,14.82,278870
2016-11-16 07:00:00,14.82,14.86,14.74,14.82,455210
2016-11-17 07:00:00,14.82,14.82,14.63,14.76,737730
2016-11-18 07:00:00,14.69,14.76,14.67,14.71,628230
2016-11-21 07:00:00,14.71,14.82,14.69,14.78,592840
2016-11-22 07:00:00,14.78,14.9,14.76,14.9,623270
2016-11-23 07:00:00,14.9,15.09,14.9,15.03,938330
2016-11-24 07:00:00,14.94,15.05,14.86,14.9,632950
2016-11-25 07:00:00,14.9,14.94,14.78,14.82,689900
2016-11-28 07:00:00,14.78,14.78,14.63,14.69,1062520
2016-11-29 07:00:00,14.61,14.69,14.4,14.49,1322100
2016-11-30 07:00:00,14.36,14.57,14.24,14.57,2063550
2016-12-01 07:00:00,14.69,14.69,14.57,14.59,866550
2016-12-02 07:00:00,14.57,14.63,14.53,14.61,751530
2016-12-05 07:00:00,14.53,14.55,14.45,14.45,548780
2016-12-06 07:00:00,14.47,14.47,14.07,14.14,1338320
2016-12-07 07:00:00,14.14,14.24,14.14,14.24,779510
2016-12-08 07:00:00,14.28,14.67,14.16,14.49,677500
2016-12-09 07:00:00,14.4,14.55,14.4,14.51,566840
2016-12-12 07:00:00,14.32,14.49,14.32,14.45,557230
2016-12-13 07:00:00,14.45,14.45,14.18,14.24,775830
2016-12-14 07:00:00,14.18,14.42,14.18,14.4,500040
2016-12-15 07:00:00,14.4,14.61,14.28,14.49,540870
2016-12-16 07:00:00,14.49,14.53,14.36,14.53,1269760
2016-12-19 07:00:00,14.53,14.61,14.49,14.55,847210
2016-12-20 07:00:00,14.61,14.61,14.42,14.47,449350
2016-12-21 07:00:00,14.45,14.57,14.36,14.47,314930
2016-12-22 07:00:00,14.53,14.53,14.42,14.45,422940
2016-12-23 07:00:00,14.47,14.74,14.42,14.74,985440
2016-12-26 07:00:00,14.76,14.98,14.74,14.94,1005930
2016-12-27 07:00:00,14.98,15.07,14.9,14.9,821630
2016-12-28 07:00:00,14.94,14.94,14.74,14.74,647070
2016-12-29 07:00:00,14.86,14.86,14.65,14.67,482410
2016-12-30 07:00:00,14.67,14.78,14.65,14.67,565850
2017-01-03 07:00:00,14.74,15.52,14.74,15.42,2018750
2017-01-04 07:00:00,15.52,15.56,15.23,15.31,1339740
2017-01-05 07:00:00,15.27,15.44,15.25,15.38,855250
2017-01-06 07:00:00,15.4,15.89,15.36,15.69,2495910
2017-01-09 07:00:00,15.81,16.12,15.77,16.02,2379510
2017-01-10 07:00:00,15.89,16.0,15.87,15.89,1234210
2017-01-11 07:00:00,15.89,16.04,15.83,15.91,1498220
2017-01-12 07:00:00,15.89,15.94,15.65,15.69,1863070
2017-01-13 07:00:00,15.56,15.85,15.5,15.5,1164660
2017-01-16 07:00:00,15.52,15.65,15.34,15.46,641920
2017-01-17 07:00:00,15.52,16.2,15.52,16.12,2340000
2017-01-18 07:00:00,16.04,16.2,15.85,15.85,1143460
2017-01-19 07:00:00,15.89,15.94,15.73,15.73,521040
2017-01-20 07:00:00,15.81,15.94,15.73,15.73,908930
2017-01-23 07:00:00,15.87,15.87,15.71,15.77,717890
2017-01-24 07:00:00,15.75,15.98,15.73,15.98,899030
2017-01-25 07:00:00,16.1,16.27,15.89,16.27,1352580
2017-02-02 07:00:00,16.39,16.39,16.1,16.33,1368580
2017-02-03 07:00:00,16.35,16.35,16.02,16.02,1546040
2017-02-06 07:00:00,16.02,16.1,15.89,16.02,1288900
2017-02-07 07:00:00,16.06,16.25,16.04,16.25,1527190
2017-02-08 07:00:00,16.31,16.47,16.18,16.45,1792740
2017-02-09 07:00:00,16.49,16.52,16.35,16.43,1203520
2017-02-10 07:00:00,16.41,16.41,16.27,16.27,1754030
2017-02-13 07:00:00,16.27,16.27,16.02,16.08,1490330
2017-02-14 07:00:00,16.08,16.18,15.94,16.02,1325510
2017-02-15 07:00:00,16.08,16.27,15.98,16.14,1419820
2017-02-16 07:00:00,16.23,16.37,15.94,15.98,1359740
2017-02-17 07:00:00,16.02,16.04,15.85,15.85,1220700
2017-02-20 07:00:00,15.94,15.94,15.69,15.71,1322360
2017-02-21 07:00:00,15.73,15.91,15.71,15.89,1076370
2017-02-22 07:00:00,15.94,15.94,15.65,15.69,802090
2017-02-23 07:00:00,15.69,15.81,15.54,15.56,1453770
2017-02-24 07:00:00,15.65,15.67,15.44,15.5,785650
2017-02-27 07:00:00,15.4,15.87,15.4,15.81,902460
2017-02-28 07:00:00,15.81,15.81,15.48,15.48,703780
2017-03-01 07:00:00,15.48,15.56,15.4,15.4,753500
2017-03-02 07:00:00,15.56,15.6,15.27,15.27,1147120
2017-03-03 07:00:00,15.4,15.56,15.27,15.52,516470
2017-03-06 07:00:00,15.73,15.73,15.44,15.44,510190
2017-03-07 07:00:00,15.52,15.52,15.36,15.52,561990
2017-03-08 07:00:00,15.44,15.81,15.44,15.6,892080
2017-03-09 07:00:00,15.71,15.89,15.65,15.65,1001970
2017-03-10 07:00:00,15.69,15.81,15.46,15.52,596520
2017-03-13 07:00:00,15.36,15.48,15.34,15.34,885720
2017-03-14 07:00:00,15.34,15.48,15.34,15.34,502570
2017-03-15 07:00:00,15.42,15.42,15.29,15.29,561660
2017-03-16 07:00:00,15.31,15.42,15.29,15.36,574840
2017-03-17 07:00:00,15.36,15.54,15.29,15.31,3101080
2017-03-20 07:00:00,15.48,15.69,15.48,15.54,1083060
2017-03-21 07:00:00,15.65,15.73,15.56,15.73,975510
2017-03-22 07:00:00,15.73,15.87,15.56,15.6,1941850
2017-03-23 07:00:00,15.6,15.94,15.56,15.83,1640470
2017-03-24 07:00:00,15.94,15.96,15.63,15.73,1411600
2017-03-27 07:00:00,15.73,15.89,15.63,15.65,1677100
2017-03-28 07:00:00,15.65,15.75,15.46,15.48,1950220
2017-03-29 07:00:00,15.44,15.52,15.38,15.44,1380040
