date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
29/06/2026,100000000,CII,1,100,17450.0,1745000.0,0.0047,0.0175,99903000.0,97000.0,0.5529
29/06/2026,100000000,DBC,1,100,18550.0,1855000.0,0.0141,0.0186,99903000.0,97000.0,0.5529
29/06/2026,100000000,DGW,2,200,40250.0,8050000.0,0.0445,0.0805,99903000.0,97000.0,0.5529
29/06/2026,100000000,DXG,2,200,12600.0,2520000.0,0.0206,0.0252,99903000.0,97000.0,0.5529
29/06/2026,100000000,EIB,3,300,20700.0,6210000.0,0.0434,0.0621,99903000.0,97000.0,0.5529
29/06/2026,100000000,HAG,2,200,14950.0,2990000.0,0.0203,0.0299,99903000.0,97000.0,0.5529
29/06/2026,100000000,HDC,3,300,14950.0,4485000.0,0.0409,0.0449,99903000.0,97000.0,0.5529
29/06/2026,100000000,HDG,1,100,20800.0,2080000.0,0.0116,0.0208,99903000.0,97000.0,0.5529
29/06/2026,100000000,IMP,3,300,40750.0,12225000.0,0.0934,0.1222,99903000.0,97000.0,0.5529
29/06/2026,100000000,KDC,2,200,50100.0,10020000.0,0.0541,0.1002,99903000.0,97000.0,0.5529
29/06/2026,100000000,KDH,2,200,21650.0,4330000.0,0.0301,0.0433,99903000.0,97000.0,0.5529
29/06/2026,100000000,MBB,1,100,24140.0,2414000.0,0.0161,0.0241,99903000.0,97000.0,0.5529
29/06/2026,100000000,NLG,1,100,26400.0,2640000.0,0.0236,0.0264,99903000.0,97000.0,0.5529
29/06/2026,100000000,PDR,3,300,14750.0,4425000.0,0.0437,0.0442,99903000.0,97000.0,0.5529
29/06/2026,100000000,SJS,1,100,48000.0,4800000.0,0.0327,0.048,99903000.0,97000.0,0.5529
29/06/2026,100000000,TCH,5,500,14400.0,7200000.0,0.0657,0.072,99903000.0,97000.0,0.5529
29/06/2026,100000000,VCB,1,100,61540.0,6154000.0,0.0382,0.0615,99903000.0,97000.0,0.5529
29/06/2026,100000000,VGC,2,200,40400.0,8080000.0,0.0523,0.0808,99903000.0,97000.0,0.5529
29/06/2026,100000000,VHC,1,100,60000.0,6000000.0,0.0578,0.06,99903000.0,97000.0,0.5529
29/06/2026,100000000,VIX,1,100,16800.0,1680000.0,0.0153,0.0168,99903000.0,97000.0,0.5529
30/06/2026,100000000,DBC,1,100,18550.0,1855000.0,0.0142,0.0186,99933000.0,67000.0,0.5625
30/06/2026,100000000,DGW,2,200,40200.0,8040000.0,0.045,0.0804,99933000.0,67000.0,0.5625
30/06/2026,100000000,DXG,3,300,12650.0,3795000.0,0.022,0.0379,99933000.0,67000.0,0.5625
30/06/2026,100000000,EIB,3,300,21000.0,6300000.0,0.045,0.063,99933000.0,67000.0,0.5625
30/06/2026,100000000,HAG,2,200,15300.0,3060000.0,0.0199,0.0306,99933000.0,67000.0,0.5625
30/06/2026,100000000,HDC,3,300,14950.0,4485000.0,0.0397,0.0449,99933000.0,67000.0,0.5625
30/06/2026,100000000,HDG,1,100,20800.0,2080000.0,0.0123,0.0208,99933000.0,67000.0,0.5625
30/06/2026,100000000,IMP,3,300,40600.0,12180000.0,0.0929,0.1218,99933000.0,67000.0,0.5625
30/06/2026,100000000,KDC,2,200,50000.0,10000000.0,0.0523,0.1,99933000.0,67000.0,0.5625
30/06/2026,100000000,KDH,2,200,21600.0,4320000.0,0.031,0.0432,99933000.0,67000.0,0.5625
30/06/2026,100000000,MBB,1,100,24230.0,2423000.0,0.0158,0.0242,99933000.0,67000.0,0.5625
30/06/2026,100000000,NLG,1,100,26150.0,2615000.0,0.0227,0.0261,99933000.0,67000.0,0.5625
30/06/2026,100000000,PDR,3,300,14750.0,4425000.0,0.0438,0.0442,99933000.0,67000.0,0.5625
30/06/2026,100000000,SJS,1,100,48000.0,4800000.0,0.0327,0.048,99933000.0,67000.0,0.5625
30/06/2026,100000000,TCH,5,500,14550.0,7275000.0,0.0662,0.0727,99933000.0,67000.0,0.5625
30/06/2026,100000000,VCB,1,100,61740.0,6174000.0,0.0378,0.0617,99933000.0,67000.0,0.5625
30/06/2026,100000000,VGC,2,200,42330.0,8466000.0,0.0513,0.0847,99933000.0,67000.0,0.5625
30/06/2026,100000000,VHC,1,100,59500.0,5950000.0,0.0585,0.0595,99933000.0,67000.0,0.5625
30/06/2026,100000000,VIX,1,100,16900.0,1690000.0,0.0153,0.0169,99933000.0,67000.0,0.5625
01/07/2026,100000000,DBC,1,100,18500.0,1850000.0,0.0136,0.0185,98927000.0,1073000.0,0.5564
01/07/2026,100000000,DGW,2,200,40100.0,8020000.0,0.0441,0.0802,98927000.0,1073000.0,0.5564
01/07/2026,100000000,DXG,2,200,12700.0,2540000.0,0.0215,0.0254,98927000.0,1073000.0,0.5564
01/07/2026,100000000,EIB,3,300,21050.0,6315000.0,0.045,0.0631,98927000.0,1073000.0,0.5564
01/07/2026,100000000,HAG,2,200,15150.0,3030000.0,0.0204,0.0303,98927000.0,1073000.0,0.5564
01/07/2026,100000000,HDC,3,300,15050.0,4515000.0,0.04,0.0452,98927000.0,1073000.0,0.5564
01/07/2026,100000000,HDG,1,100,20800.0,2080000.0,0.0113,0.0208,98927000.0,1073000.0,0.5564
01/07/2026,100000000,IMP,3,300,41190.0,12357000.0,0.0936,0.1236,98927000.0,1073000.0,0.5564
01/07/2026,100000000,KDC,2,200,49950.0,9990000.0,0.0535,0.0999,98927000.0,1073000.0,0.5564
01/07/2026,100000000,KDH,2,200,21850.0,4370000.0,0.0301,0.0437,98927000.0,1073000.0,0.5564
01/07/2026,100000000,MBB,1,100,24760.0,2476000.0,0.0164,0.0248,98927000.0,1073000.0,0.5564
01/07/2026,100000000,NLG,1,100,26700.0,2670000.0,0.0223,0.0267,98927000.0,1073000.0,0.5564
01/07/2026,100000000,PDR,3,300,14800.0,4440000.0,0.0431,0.0444,98927000.0,1073000.0,0.5564
01/07/2026,100000000,SJS,1,100,47500.0,4750000.0,0.0323,0.0475,98927000.0,1073000.0,0.5564
01/07/2026,100000000,TCH,5,500,14600.0,7300000.0,0.0661,0.073,98927000.0,1073000.0,0.5564
