date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
30/03/2026,50M,50000000,DBC,BUY,100,20410.0,2041000.0,100
30/03/2026,50M,50000000,DGW,BUY,100,44720.0,4472000.0,100
30/03/2026,50M,50000000,DXG,BUY,100,12560.0,1256000.0,100
30/03/2026,50M,50000000,EIB,BUY,100,23000.0,2300000.0,100
30/03/2026,50M,50000000,HAG,BUY,100,16400.0,1640000.0,100
30/03/2026,50M,50000000,HDC,BUY,200,16570.0,3314000.0,100
30/03/2026,50M,50000000,IMP,BUY,100,54200.0,5420000.0,100
30/03/2026,50M,50000000,KDC,BUY,100,49000.0,4900000.0,100
30/03/2026,50M,50000000,KDH,BUY,100,26050.0,2605000.0,100
30/03/2026,50M,50000000,NLG,BUY,100,28210.0,2821000.0,100
30/03/2026,50M,50000000,PDR,BUY,200,16600.0,3320000.0,100
30/03/2026,50M,50000000,TCH,BUY,200,16350.000000000002,3270000.0000000005,100
30/03/2026,50M,50000000,VGC,BUY,100,44800.0,4480000.0,100
30/03/2026,50M,50000000,VHC,BUY,100,59300.0,5930000.0,100
30/03/2026,50M,50000000,VIX,BUY,100,16350.000000000002,1635000.0000000002,100
30/03/2026,100M,100000000,DBC,BUY,100,20410.0,2041000.0,100
30/03/2026,100M,100000000,DGW,BUY,100,44720.0,4472000.0,100
30/03/2026,100M,100000000,DXG,BUY,200,12560.0,2512000.0,100
30/03/2026,100M,100000000,EIB,BUY,200,23000.0,4600000.0,100
30/03/2026,100M,100000000,HAG,BUY,200,16400.0,3280000.0,100
30/03/2026,100M,100000000,HDC,BUY,300,16570.0,4971000.0,100
30/03/2026,100M,100000000,IMP,BUY,200,54200.0,10840000.0,100
30/03/2026,100M,100000000,KDC,BUY,200,49000.0,9800000.0,100
30/03/2026,100M,100000000,KDH,BUY,200,26050.0,5210000.0,100
30/03/2026,100M,100000000,MBB,BUY,100,24760.0,2476000.0,100
30/03/2026,100M,100000000,NLG,BUY,100,28210.0,2821000.0,100
30/03/2026,100M,100000000,PDR,BUY,300,16600.0,4980000.0,100
30/03/2026,100M,100000000,TCH,BUY,400,16350.000000000002,6540000.000000001,100
30/03/2026,100M,100000000,VGC,BUY,200,44800.0,8960000.0,100
30/03/2026,100M,100000000,VHC,BUY,200,59300.0,11860000.0,100
30/03/2026,100M,100000000,VIC,BUY,100,129500.0,12950000.0,100
30/03/2026,100M,100000000,VIX,BUY,100,16350.000000000002,1635000.0000000002,100
30/03/2026,250M,250000000,BSI,BUY,100,30890.0,3089000.0,100
30/03/2026,250M,250000000,CTD,BUY,100,80000.0,8000000.0,100
30/03/2026,250M,250000000,DBC,BUY,100,20410.0,2041000.0,100
30/03/2026,250M,250000000,DGW,BUY,300,44720.0,13416000.0,100
30/03/2026,250M,250000000,DXG,BUY,500,12560.0,6280000.0,100
30/03/2026,250M,250000000,EIB,BUY,500,23000.0,11500000.0,100
30/03/2026,250M,250000000,GAS,BUY,100,80800.0,8080000.0,100
30/03/2026,250M,250000000,HAG,BUY,400,16400.0,6560000.0,100
30/03/2026,250M,250000000,HDC,BUY,700,16570.0,11599000.0,100
